SAMPLE ID,Rb,Ba,Th,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,Nb
ODP0129-0801C-006R-003/037-042,8.424220326087767,0.281807901026961,0.12219606006584491,9.099090745180568,8.942057967337611,0.6323021968410232,0.7696289171612428,3.502668626626189,1.057982267762124,1.0368420543436123,0.9845691025159238,0.8997711490486604,1.0539898637753142,0.8408445863456104,0.23468684512317717,1.5737675907555881,0.1551367146310887,1.4900656143444206,1.0,1.0,1.0
ODP0129-0801C-007R-001/053-058,0.3130615777647667,0.6110540538514038,0.4245256487314187,0.47545347473672583,0.3379621966535233,0.785171656107258,0.7241455516980311,4.062317218266078,0.7679553162426775,0.9738875729017737,1.1586133742442435,1.2830289444265552,1.5737985878992655,0.9639034539299502,0.9295529433737593,1.134964936381363,0.8375256938976984,1.0847458589617134,1.0,1.0,1.0
ODP0129-0801C-007R-001/099-105,0.2835108456611422,0.46217439122759174,0.3099309216269149,1.7604316850413755,0.2572889798549326,0.531919220135064,0.505221055226254,3.8534220728848054,0.642172371158822,0.9327514274159018,1.5953163285305783,1.450447483296255,1.9706840846464146,0.9428225566818589,0.6903662232519358,1.3465183390370459,0.7734572581463974,1.1468682321312214,1.0,1.0,1.0
ODP0129-0801C-007R-003/000-005,4.341022488896358,0.3854587220172347,0.39697732193815793,1.2455828766919592,1.7909802830870851,0.6088373167742059,0.6036389447018815,5.627585415560939,0.7560975526702184,0.8825509316842963,1.0914782204731528,1.1685542780896467,1.4005965529254787,0.9390557502850354,0.8265410088661218,1.1950789125424786,0.5118907090183553,1.0759731041610738,1.0,1.0,1.0
ODP0129-0801C-007R-004/077-083,0.6269104074527273,0.28359413758038754,0.3398118522711753,1.7964144344012392,0.28856909737810393,0.510408022015129,0.5081159009592799,4.662339150955322,0.6004481759069974,0.8464027240258176,1.6972375038015883,1.507490025187667,2.0427787465079223,0.9787816577076588,0.6939281200340126,1.3596199862433431,0.4558464522757787,1.1209411085262044,1.0,1.0,1.0
ODP0129-0801C-007R-004/137-142,0.661739236818761,0.48892208261043973,0.3565211158624112,0.3394504947608361,0.40611239507830055,0.6553059106106766,0.6086061913509526,4.127387071838171,0.8136933347534655,0.9625507713636189,1.282495322810643,1.2784262511763245,1.6285229921136566,0.9315342358141753,0.811623919530436,1.2750542145903618,0.4846934295261015,1.2086190731524618,1.0,1.0,1.0
ODP0129-0801C-008R-001/065-067,6.559866229055189,0.6869379583708397,0.33992801776500237,4.747133096434305,3.2378356972167204,0.5469781067589257,0.7108969131243773,2.192758295270833,0.8118428553667915,0.840866095549378,1.0958749658198323,0.8951022430806188,0.9242878799668374,0.9329092755981979,0.41821655630509214,1.330503766504913,0.5653519465646348,1.0618944721146928,1.0,1.0,1.0
ODP0129-0801C-008R-001/101-106,0.9926063855868743,0.23113302403144426,0.3788036856038119,0.34131731186022324,0.416766672022808,0.6527577249113549,0.5981798265247954,4.135189522404916,0.7525918657307716,0.9343748389740193,1.293309019637874,1.3085939929140609,1.6976797016763197,0.94729899487404,0.855260535181202,1.2662995496473055,0.48882687620139215,1.1559108886979752,1.0,1.0,1.0
ODP0129-0801C-008R-002/078-080,0.6742418498267582,0.22824374908409992,0.28188852387262525,1.0022058662713242,0.335668737482303,0.4865272834965924,0.5008539731191324,5.387277541599678,0.6554725270139788,0.8384011603235739,1.4130040784605213,1.3317781328432101,1.5514459195957464,0.9510213423460634,0.8706097523818044,1.3295088555655048,0.8941620469794639,1.2695596493988797,1.0,1.0,1.0
ODP0129-0801C-008R-002/133-139,1.1501896442131039,0.5372232292199244,0.24053926912122464,1.923145754111729,0.3648697829654143,0.5923838379489237,0.6617228767648102,4.461254434619956,0.8221528503170433,0.9173055586012552,1.1684769091950937,1.1913919372559318,1.2414414500064206,0.9732032852424845,0.9019874415671444,1.3213638267786076,0.8200243728418797,1.1156750159945616,1.0,1.0,1.0
ODP0129-0801C-009R-005/020-024,0.46916042407195396,0.4389267289726834,0.25489697668629285,1.820829368734126,0.3103846013201909,0.48348146623090404,0.6708819447457078,7.1813713031311845,0.8858932071590647,0.5936082283035169,1.0812752744321557,1.0339805778964257,1.0730848126771935,0.9837197513218011,0.9330678223363664,1.050509280779711,0.3764506478260094,1.1215194910419968,1.0,1.0,1.0
ODP0129-0801C-010R-001/055-060,0.36397628207792093,0.2706167752261957,0.2575351418367168,0.2681470806785478,0.3314063370182951,0.5903720745132505,0.6527683626963803,6.454870196511084,0.6272338152850571,0.9048552959322137,1.7938548002186914,1.4556340665467162,1.6942485848118762,1.0105460779573459,0.7013346785295352,1.2889650064188742,0.38435378157025274,1.3104437791903845,1.0,1.0,1.0
ODP0129-0801C-010R-006/067-070,0.418870730978374,0.22605446621274203,0.23799970752160413,0.5157636169854112,0.33847288565117745,0.48110813523511814,0.5799814246252549,2.5133871778058574,0.7876555271277781,0.8125848472692241,1.1627266980776803,1.1515374321569656,1.3680073736161658,0.9777193517083134,0.8880785760688249,1.1416971824479867,0.34899937733839326,1.2705291026969971,1.0,1.0,1.0
ODP0129-0801C-011R-002/121-126,0.22441828072410278,0.37303687134466196,0.5919402023321552,0.3262071618594635,0.2999538053444824,0.7069976616820529,0.6152206595836435,4.926456335714332,0.9968445390290298,0.7989291620258759,1.13972686632256,1.1725149508877188,1.6903524232568514,0.9685263635078687,0.8503974412751545,1.171331042202404,0.5169219709169786,1.1490228500833446,1.0,1.0,1.0
ODP0129-0801C-011R-003/121-126,0.9708111138238288,0.6104686699411532,0.28697195464429404,0.3828539537399163,0.37163223002517387,0.5585701781029497,0.5873919360520791,3.280407217392997,0.7657598219149072,0.8594872950378664,1.179891180115322,1.257308043695287,1.4929558583498523,0.9187960332601872,0.7335887974285584,1.0802919374144682,0.5072963650615242,1.2183477140256607,1.0,1.0,1.0
ODP0129-0801C-011R-003/131-136,1.2019019810384324,0.27216705330026714,0.15538477987968743,2.7466810191320734,0.37131496558019095,0.4444196571948755,0.5058098509070342,5.870014415890219,0.650836082378518,0.6446779679122324,1.0968198647265097,1.122682348327751,1.1766704717872307,0.9427945765517192,0.8808104148149467,1.007444430678546,0.8018069637715636,1.1498669596382696,1.0,1.0,1.0
