SAMPLE ID,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
ODP0185-0801C-028R-002/036-038,-0.34314037398138386,-0.2497316658418458,0.17169878226731328,0.0830314565469914,,-2.7537957199649084,-0.9893824297425882,-0.27725545223429826,-2.5086532818713296,0.6112398056641766,-0.20361404677171002,,,1.2129544917732709,0.5273624464141538,0.8154290406834255,-1.4878078974419395,-0.31278442938752793,-0.2109511665841315,0.01033323940017239,1.440247296013787
ODP0185-0801C-028R-002/100-104,5.702863541747221,1.1094327450868489,-0.5166960693714262,52.289885757523265,,14.138531241730256,-1.4859374160183956,-1.4082986417909957,-3.859099119720794,-1.1870575168228568,-0.9922438809346446,,,0.45504363894300326,-0.026624314941024352,0.20745391556881998,-2.9117965279252758,0.2732974877347045,-0.45846194210338753,-0.022282520073315826,2.6349168924839503
ODP0185-0801C-029R-001/016-018,-0.5499497148856892,-0.7424332185828624,0.39101223365469595,26.990513788522556,,-0.346509251718913,-0.9367253966322142,-0.04161811931839132,-1.5240100026840189,0.7406531282000808,-0.07412073577022937,,,1.3378679186133624,0.589427678602851,0.8256964429562217,-2.860743570966598,0.17990473459264322,-0.08396353817820046,0.004603874008779235,0.6880209432045064
ODP0185-0801C-030R-001/003-007,20.4674949815164,-0.5002973177256271,0.3632998594613448,5.459855536847539,,7.99215012678973,-1.26284442418899,-0.7977266404981673,-0.9846886803242949,0.7855086010834782,-0.7736747417423189,,,1.0383875020756648,-1.8374415541239681,-1.697523564027538,-3.0279994329643998,0.5326595782662586,0.023556850180255218,0.025583615953815947,-1.2055087094345502
ODP0185-0801C-030R-001/111-114,-0.33100223840633436,-0.23714588724030738,0.254374944367985,0.38558431239250357,,-2.2591571204778123,-0.6734371786862567,-0.5253118689521017,-5.261613629821728,0.23386362756390078,-0.26716156650565814,,,1.6844350440853777,0.2403393539989196,0.5799145779370569,-2.0616308143128492,-0.3853066671170424,-0.20228457586874216,-0.004375483053588675,0.31661396599569436
ODP0185-0801C-030R-005/039-042,7.951147329620459,-0.6016600644594847,-0.33698268022723465,9.175874834753486,,2.2599708819490916,-0.41530294144030666,-0.507232578204607,-5.8860773277169605,-0.7880433273222058,-0.17530758776475697,,,1.8475137996772393,1.5029484967363027,1.7700287994278803,-2.4674786628083965,-0.27640083111173386,-0.28105557055115593,0.008922895099884115,3.6332637099760365
ODP0185-0801C-031R-004/043-045,-0.8968128338794773,-0.012001664195817607,0.33324980580371033,-0.9062964990174489,,-2.568372405552818,-0.6429187025387186,-0.5537665028559591,26.00851282536753,0.15497898425258416,-0.42923481475923886,,,1.9075448977008236,0.333504364611656,0.8713378216756169,-1.4877049201848536,-0.5853066671170417,-0.16776447071998213,0.00017986632326649765,0.556333371752487
ODP0185-0801C-031R-007/007-010,23.45950196077148,-0.31749778436982834,0.2754184587387998,1.788644981973842,,9.858078071726975,0.2449283992820579,-0.4045411201298039,-4.927828944125207,-0.12754930767763994,-0.4200888083902168,,,2.385549922715583,0.0927295974715836,-0.2713612504614744,-0.9746909939382817,1.2477936210921294,-0.5042165688308025,0.005922855781988812,-1.5632648022184625
ODP0185-0801C-032R-001/121-127,69.12592472942565,-0.7116927408684977,-0.47648463550642806,-2.925043296764496,,56.30941449488769,-1.278623006111447,-0.9366584635749442,-5.792661160310843,-2.5123811689234867,0.24341862774494505,,,-0.10317250668637179,-0.1297357448712182,-0.0478600299356815,1.3521890338984974,1.523599168888266,-0.5476211620497482,0.01923710028788564,-5.078254183836205
ODP0185-0801C-034R-002/036-040,42.771227058078836,0.26915577691708625,0.2634792379146016,24.395160806074816,,22.906999401995918,0.05102731988282905,0.1920802747116106,-0.7268932562259556,0.5273484565042095,0.05487617246454235,,,1.4526864294984048,1.2136058530412548,1.7530547652395114,-1.3237878895909319,-0.7147836244595549,-0.3041778314261365,-0.011347559072423213,-1.237821855903011
ODP0185-0801C-035R-003/100-104,1.5257032284272245,-0.14212353371565212,0.36487574147709445,32.13448351363518,,-0.8021581260811228,0.45752939239433665,0.9229554621387059,-0.9329087085804595,0.6865661115766537,0.19106349924278732,,,4.563823653016479,2.1533417083987985,2.6886811646035405,0.41890670726230184,-0.5480357378978464,-0.013776218978539312,0.008948606050911384,0.35897384807096167
ODP0185-0801C-037R-004/106-110,-0.026080644673835973,-0.3606140883360349,0.7174184459226893,0.12261115050210236,,-0.8318261216839997,-1.896524307286941,-0.9063615255789497,-6.343391175706776,0.0303281165595628,-0.30813818711069274,,,0.9158298237290357,0.7155026136959748,0.9702522234424666,-1.0138287273818136,-0.5244426461628233,-0.17559099093788566,-0.011014131213561429,0.8310994125026525
ODP0185-0801C-037R-005/112-114,21.044398635847042,0.3691768234124484,-0.002953043135160982,7.218864744261107,,9.239449186618604,-0.5768312088058822,-0.27151258529867395,-4.510769845604472,-0.8688016096348505,-0.3281151110651237,,,1.6720750481050448,0.7486727786813638,1.1501003066482536,-3.366672442706502,1.6738708784293204,-0.2929608893278677,0.03290818944873605,-3.6312488685939757
ODP0185-0801C-038R-001/022-027,5.8721265523985045,-0.1123329752199953,-0.5106325424814915,21.35377329332685,,1.3322394697286732,-1.3107191375994143,-1.0494916201608557,0.16332811596695773,0.882373576188491,-1.213685471981929,,,1.65241150218265,-0.6928233729639501,-0.6530399704950032,-3.7124259024021526,-0.7102533707449439,-0.21908422654290804,-0.01136252225796755,5.040612008523945
ODP0185-0801C-038R-003/053-059,28.72305313806478,0.4751856162857193,-1.5590077688284802,24.999898493732395,,16.19230890229864,-1.1114644964748992,-1.6983257657736974,13.438940259532046,-0.0999358124753913,-1.7602346281947128,,,-0.40539001814424935,-1.7257274901604873,-1.682520175708019,-2.202766336599261,3.14923745103248,-0.11293013578155264,-0.04388253134223438,-5.301844832750335
ODP0185-0801C-042R-002/034-038,5.534677902063937,0.04079171585912578,0.10931687686064318,33.18502435811661,,1.7672509284835378,-1.4026004621741572,-0.735462674691818,-4.945843717400756,0.3431478238010035,-0.48105433310457535,,,1.1610482199225132,-0.04276866019934378,0.13351060076777,1.2265056103305625,-0.6827859429201304,0.035598057881798706,0.015144706826599325,-0.5055157843330207
