SAMPLE ID,Rb,Ba,Th,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,Nb
ODP0129-0801B-043R-001/132-135,39.05377640944332,43.56472211805832,32.706218992240544,67.03204540751094,39.24066478046581,42.68976696199964,35.70136810860241,32.3233409849743,23.667668840602275,24.885297785592723,6.288533279833111,4.500613588909097,4.182498236111436,48.09902722442464,6.229395523914705,3.174793738408395,0.42144736944008676,9.669180122870404,20.982142857142858,11.156830923718374,57.0827489481066
ODP0129-0801B-038R-001/022-025,28.283108189699924,38.23859611924988,33.57840744451287,42.87312107380332,29.96424433437692,39.50966265601471,32.66772729597855,26.568947406442643,23.21471259848421,21.978427025425844,4.7910303700152825,3.60900799633261,3.3583011784870793,46.347892399817724,8.924152195374745,2.3826927609708775,0.3875797473506149,11.136953239551453,17.321428571428573,12.309396101788455,50.490883590462836
ODP0129-0801B-040R-001/015-018,31.96428969181974,47.261062257151174,42.43076109450379,42.786590264117216,34.395750753782764,46.81121807146836,37.95619606086048,31.069619619399678,25.716477201266347,23.874356862537343,5.152263015491678,4.2313195507802215,3.748862756015857,44.006699864375356,8.499803359740207,2.5708268753890913,0.5126544542002165,11.485415247885244,13.660714285714286,15.213860350525056,68.72370266479663
ODP0129-0801B-041R-001/020-025,42.15203107755751,56.74205900093377,40.70014187901447,63.02394387171923,42.52839618363149,71.83985249774533,51.25266341430456,31.725513162869664,29.124768756325103,33.7182882164381,7.072164969874027,4.662022084199038,4.49648314437955,46.41530633857754,6.331895416736358,3.0595947335569957,0.6441651390273129,9.956926750295022,27.5,16.41252813571794,74.33380084151473
ODP0129-0801B-041R-001/026-031,39.28525972395236,54.93861526890269,44.59014457628013,52.97078835644538,41.27191029500708,57.31457142591774,42.580455957609075,31.840281875716094,27.53549060541923,29.282946048638955,7.077564963493735,3.8540257612136717,3.9186161304490263,47.037381048988024,7.597448216410663,2.978046058139802,0.5770392709607212,9.69088187776747,24.28571428571429,15.25996295764786,67.32117812061712
ODP0129-0801B-041R-001/130-136,43.177810655704725,54.59494576234286,41.13908981138732,54.009385230281836,46.070583657507704,61.89120904202181,44.458596690794046,28.925614601446412,26.25477437847064,30.949269853107623,7.066347847624168,4.126461579933928,3.9912854573309895,48.288857269973086,6.191571429067053,3.176125837889939,0.6224146803101452,9.200047710333086,25.446428571428573,14.937244707788237,68.72370266479663
ODP0129-0801B-042R-002/000-007,35.500566623806954,49.16801600361896,38.43509765238454,52.54513674087632,39.54529010775122,49.89964450062404,38.62339406952636,32.79850368896047,27.65786905577889,25.82205707995888,5.791333280698637,3.5779238928107557,3.729729100066007,46.803121090762204,8.169836015827713,2.8312274059158176,0.5167257141917203,10.454978336553502,21.696428571428573,13.323653458490124,58.906030855539974
ODP0129-0801B-042R-002/129-134,33.09335645754724,45.66386498600124,36.319221995263526,53.07934116816101,33.155995618669365,49.2383315818039,38.10225363864714,33.19056313090524,26.63610973432776,26.061038908223527,5.930496049749361,3.7322607398439924,3.444008580984926,46.123334367358034,8.07720019022772,2.763269522008606,0.49524686083550434,10.773047395163625,20.80357142857143,13.461961279858535,57.503506311360454
ODP0129-0801B-043R-001/022-027,35.0384036200424,48.45547257062733,38.65095087797845,51.9729168519493,39.159553065844435,50.15304521280733,38.10419607634127,32.60730796889524,27.58468675142196,25.75380324394069,5.742184757779011,3.530751897805194,3.44074114422848,46.8429137459904,7.380981038979175,2.8480823537846853,0.5144516636031414,10.523287024799913,21.78571428571429,13.554166494104141,58.906030855539974
ODP0129-0801B-043R-001/128-134,33.00509342376731,43.62585884440129,31.89783442156636,46.455790680405116,34.335196647527056,39.85901541411871,31.643849074997025,25.2146097958955,23.663012631709996,21.83110484304258,5.695759853466998,4.217218583251291,4.106426306203623,48.077891685999006,8.017041503456078,2.9415847711439875,0.43130155352128235,10.583330837211554,18.571428571428573,11.433446566455194,51.89340813464236
ODP0129-0801B-043R-004/005-010,36.094305212743656,47.36232167574393,40.55088451635979,49.95123036389805,41.85230531356521,52.483522697135214,38.8446260989586,28.440481722558964,26.525766176329014,26.198049103678013,6.5194168464977915,3.743880892243935,3.6210615554044097,47.03034733478493,8.304223514568841,2.881505789176164,0.5280055049761674,9.749819311097518,23.125,14.199602993823385,60.308555399719495
ODP0129-0801B-044R-001/018-024,35.16904891333313,44.44193615848375,41.585526654873334,48.58547198245286,38.47036229187631,54.35690602418539,38.98858310723289,29.663253027838223,26.207370663496803,27.165524650443654,6.8258074362352685,4.452772149034917,3.8120794584332915,46.93014872069946,6.920473371149926,2.8889642755982448,0.5396408459927099,9.66823329062916,23.571428571428573,15.029449922033841,60.308555399719495
ODP0129-0801B-044R-001/107-113,27.70141275897394,40.84669962289368,36.823387749335055,40.753405085272675,28.493000455054506,47.48575487915921,38.36783597394357,25.404899771039833,28.3659693789182,26.440807363575665,5.499728729180446,3.592525356874142,3.7135144906935644,44.57697176593069,7.986690093065114,2.6383741086957824,0.4885719034266984,11.301944839195947,19.107142857142858,15.029449922033841,58.906030855539974
ODP0129-0801B-044R-002/027-032,35.16071696066948,46.44985663850911,42.22333710547935,50.557065318184286,37.64436918478923,55.23681135930489,39.697366889985446,30.861386240145052,25.8921432268944,28.45976707451999,6.491647676423432,4.126465264661865,3.7957779173881643,46.90606333333835,8.385270250438353,2.8734944448307145,0.5185123621347715,10.096232897813909,22.67857142857143,15.075552529156647,61.71107994389902
ODP0129-0801B-044R-003/028-033,35.52867711598912,47.00138878330663,40.38474303843839,49.751938009106944,41.23309237209819,52.649088056989086,40.16159415723793,28.058418240328102,26.647047004772237,27.232851347642438,6.740363317836432,3.8864955360962288,3.8836511625342665,47.41883817591092,7.047320764109392,2.9438098546443356,0.5293415768248867,9.609138182777588,23.92857142857143,14.56842385080581,61.71107994389902
ODP0129-0801C-001R-001/014-020,33.3382607690855,43.90304619882579,33.17294035304624,48.51436155553064,33.116357532106925,43.79396180829059,33.021485393083466,28.04524873814412,25.181823787453038,22.17228920837672,5.820325038308735,3.9487809168143495,3.727254973787554,47.371876159650625,6.721954695367684,3.0106120445686644,0.4659648793455571,10.741991798657635,19.732142857142858,12.40160131603406,53.295932678821885
ODP0129-0801C-001R-001/109-114,35.721687382188904,49.02252970013906,35.576185708074576,53.24772651359888,40.87914990123477,47.58723750770865,38.55709701524168,31.518584578425195,27.65765556544334,25.70538973790732,5.855498753686794,3.7737520178247626,3.9502068903753047,47.0184960180797,7.070390510709643,2.9262317969063636,0.5365146144364733,10.363452078557463,21.607142857142858,12.908729994384895,57.503506311360454
ODP0129-0801C-001R-005/033-038,35.33261826438496,47.135921066378515,40.45385606927833,50.24770949243431,40.724721929869,52.649088056989086,40.20198837231799,28.260047787600673,26.44248999162356,27.389383213721967,6.7698081769108,3.810297833965013,3.8493242665357013,47.42806980790197,7.22746962405295,2.9378511216194267,0.5424515886652356,9.609391613289642,23.839285714285715,14.476218636560205,61.71107994389902
ODP0129-0801C-002R-001/112-118,34.77866097654825,47.00138878330663,37.65510624107647,49.44423829164367,40.76710924181071,52.37998719494905,38.20767697131256,27.59680212742668,26.464537329529307,25.512270071806576,6.820383856442131,4.078798721037137,3.6683688023768783,47.29279460828553,7.601885470335744,2.890922984599808,0.51281726851817,9.787206478980078,23.125,14.153500386700582,58.906030855539974
ODP0129-0801C-002R-003/114-119,34.742989665957495,43.07371340250089,36.62479803000436,48.66347600259836,36.279216756312344,53.60955176687507,36.28284705939491,29.349288962823273,26.24971553882946,25.442141826999535,6.745121435547525,4.357654594448629,3.6434273302402818,47.10540104112783,7.47869472221919,2.908499657648108,0.5224949557439907,9.978130928335267,22.767857142857146,14.614526457928616,57.503506311360454
ODP0129-0801C-002R-004/071-076,34.923064866968176,42.90496399206745,37.33091441661624,48.44498657539121,37.71738694978233,54.01194184697368,36.939350858173576,27.50041187450687,26.388716208074126,25.333748680361282,6.708050275861254,4.129499080646774,3.5822473682893436,47.240442800670834,7.123707645343921,2.9025335651931803,0.5204582492017726,9.74441683923655,22.946428571428573,14.522321243683008,57.503506311360454
ODP0129-0801C-005R-001/103-105,0.8265544343984328,1.4227497478105107,1.8057915810622607,2.67852150212893,2.0388329817232664,3.681069948486779,4.151411297261311,5.877212499744868,4.318465498127774,5.314203904295332,6.611586396570299,6.1083009980661735,6.076827723513176,50.10745356589411,7.6595718580140195,2.3325340870336593,0.10094873486644605,11.534484475427002,6.25,5.670620676104793,2.805049088359046
ODP0129-0801C-005R-002/087-089,0.886246438365906,1.492802402793662,1.6354563466504508,3.1554992264656616,1.8220759185431905,3.2624623495100056,3.890913144864916,3.974714892363412,3.7447531761425483,5.011422775028588,6.684107825829236,6.052181366584364,5.820635758105143,50.15791378977278,7.863106929460309,2.1911221297929844,0.09322470250880951,11.718758073477437,5.892857142857143,5.532312854736384,2.805049088359046
ODP0129-0801C-005R-003/038-043,2.542533985171369,5.727586984706489,3.535958650251718,5.609548803607753,3.6641468889886997,5.107454183221257,5.7492102971984425,5.782496044607484,5.347276924909321,5.434399724167908,5.567684475244301,5.128828932316397,5.177822866636423,49.51306605543436,8.007181574771248,2.2104050541777243,0.11443654197273624,11.263296007914905,6.1607142857142865,5.301799819122368,5.610098176718092
ODP0129-0801C-005R-003/125-131,2.1287473343286405,0.8782291253464561,0.7179003530232256,3.4808560141422618,4.253833195210237,3.240851334709265,4.208216062583022,10.204761141937832,5.88226412724136,5.129458542285511,5.604472091006657,5.3924029630601495,5.448315645591557,50.37472126423803,7.51476914758409,2.544177751655486,0.09967163265780789,10.282261383600547,5.982142857142858,4.74856853364873,0.9817671809256662
ODP0129-0801C-006R-002/029-034,2.1006153573568414,5.442297722819653,4.063547793652616,5.691595747740499,2.880147920918323,4.637054457084781,5.210804906485342,5.151301967280353,5.072099122524199,4.889262674976226,4.813426918084391,4.286307318380949,4.388667635037886,49.9105689922119,8.127174099920465,2.146647786455365,0.10122500607572801,10.958124821641658,4.910714285714286,4.518055498034714,4.20757363253857
ODP0129-0801C-006R-002/119-124,2.318436380630347,6.796844785309269,3.6159924750000103,5.874274987310715,2.726738565666928,5.477584935620586,5.993101494427506,5.713040638530862,5.531729366819851,5.150831832707837,4.936033227174215,4.527205332994095,4.664526810552631,49.43972332688906,8.140000524738134,2.0107892628758224,0.105876526659339,10.417238931394023,5.357142857142858,4.61026071228032,4.20757363253857
ODP0129-0801C-006R-003/037-042,1.6824379940023224,3.5541015642068015,2.88831879096926,3.506368141416834,3.342086320739291,4.212788555572613,3.79916034438613,4.02107893826653,5.823478926343933,4.053041010628644,4.018046012143646,3.8774790868502764,3.8463880853016277,48.26099930828418,11.547302528088593,1.6711489138858804,0.06445927402665291,10.98609339240558,4.285714285714286,4.518055498034714,5.610098176718092
ODP0129-0801C-007R-001/053-058,5.0303303294203685,7.492992677875798,5.2653923840093935,10.015501021507067,7.860216295804592,9.955267521010844,11.771036419383154,17.33555786697675,7.035361937892243,10.131621796857083,8.346468188007556,6.892918063806147,6.354053229484834,50.0672549758362,7.487470239983403,2.3613064281480898,0.1910389151828739,10.28812408713136,10.625,8.897803174701018,9.817671809256662
ODP0129-0801C-007R-001/099-105,5.55464869759704,8.358779055550649,5.314277177906403,10.819856975689103,7.7435962288388644,9.93354365615546,12.4893036219637,18.27532356416562,8.708591824839282,10.29339800690384,5.923934508496011,5.705730241372115,4.251507607766391,49.860919922668764,9.589113396679258,2.027451034905579,0.19393443971225685,9.974990743915791,10.714285714285715,9.036110996069429,11.220196353436185
ODP0129-0801C-007R-003/000-005,5.07881360920878,7.4239848681679526,5.334428295512107,9.939886468119994,8.157827279414132,10.423858057255385,11.815663036319917,17.519334139852834,7.897875029423918,10.268006161902033,8.255766209501434,6.873839334349301,6.367942931381373,50.0928725325645,7.47694298735152,2.3345738684857187,0.19535420010214372,10.372006471947408,10.625,9.082213603192232,9.817671809256662
ODP0129-0801C-007R-004/077-083,5.024013418456603,9.081554962938306,5.539397547776888,10.603131817947002,8.054912985948054,10.58034138941309,12.6399020364102,18.125460100045593,9.234808130287876,10.470936582673591,5.697687948015176,5.7185716065346615,4.233766707938043,49.93963629690271,9.568714407588127,2.0299789852500876,0.1974349028070348,10.08973612794896,10.714285714285715,9.266624031683442,11.220196353436185
ODP0129-0801C-007R-004/137-142,4.759588254663552,7.901491380341624,5.279779674825513,9.819792237103302,8.176480198879922,9.795751678505525,12.052475593985184,17.062256092182864,7.630062261193619,9.698504311906786,7.368876347898229,6.71147177708459,5.891592959422569,50.0357348211278,7.700610898229724,2.2116706628870557,0.18568438216295927,10.185177673798922,10.357142857142858,8.805597960455412,9.817671809256662
ODP0129-0801C-008R-001/065-067,4.801327022893016,6.04039643289151,4.845316471289077,7.0217819168312055,8.614639606866808,10.751144137447405,10.143900574754827,12.84638354590186,8.756626596319107,10.539881788058223,8.222643359909059,7.818069563036269,7.456434343961285,50.01558160098771,7.149406102944362,2.608034706369384,0.24763335626720848,10.029245164814943,10.0,10.0964709598939,8.41514726507714
