,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
ODP0129-0801B-043R-001/132-135,18.584018866147233,16.672793978665105,-4.470924874593489,-32.60347397893951,,-11.13487199322023,-10.81203770435772,-8.321086418461562,-5.562777604692609,-7.079991115483793,-6.495342098738959,,,-1.0577640490638798,-0.606090262337089,-0.26357931719251715,-0.7990272244246412,4.930604476085295,0.045206261591605124,0.09055263055991325,-2.8191801228704048
ODP0129-0801B-038R-001/022-025,100.8507500780166,27.149871472680303,-10.048995679806989,13.317355116672864,,71.28643775632145,-9.96089991947905,-8.442375183302495,-12.48444036418912,-18.380589375735394,-6.468825843741946,,,-0.39542597441088656,-0.18101610992287354,-0.1150579352438359,5.102107600182279,-4.234152195374745,-0.3426927609708774,-0.027579747350614914,-9.136953239551453
ODP0129-0801B-040R-001/015-018,141.26405676487317,15.551929587175628,-5.254290506268497,-5.643733121260077,,68.25149246920111,-2.997535393156859,-4.66042141297315,53.43742263412146,-10.692780518801893,-3.194888620292147,,,2.100484237255575,-0.49906802948204687,-0.37048437763747843,7.573300135624642,-5.749803359740207,0.33917312461090887,0.11734554579978351,-8.855415247885244
ODP0129-0801B-041R-001/020-025,55.48576419803304,7.35867071719472,1.65279929745612,-13.500134347909707,,10.017216418610246,-14.183375059608508,-5.190691583318639,95.03505021741204,-6.091593400874867,-4.855658969761585,,,0.8399229422138852,1.058059051703598,1.4494628015663968,-0.08530633857753855,-1.8118954167363581,0.8204052664430042,0.045834860972687075,-2.246926750295022
ODP0129-0801B-041R-001/026-031,22.13206311069331,4.2973269259749785,-9.060732811574255,13.695878310221275,,-3.913900006370099,-12.918647117329684,-6.636793985778091,10.413239251044473,-2.985727572243878,-6.387820494724629,,,-0.044597930526702356,0.8315726160682759,0.4057081938752982,-1.267381048988021,-2.3974482164106625,0.8319539418601982,0.04296072903927883,-1.4408818777674703
ODP0129-0801B-041R-001/130-136,38.71195312382283,5.78565232035853,0.03738077684796792,-5.914147135043741,,-0.507776716693435,-9.052781094423565,-2.6783150006531997,111.91945582108882,-1.989371534868745,-4.752814904806296,,,-0.03338081465713483,1.147372091465666,1.954660488614957,-2.2088572699730875,-1.3315714290670524,0.5338741621100609,-0.012414680310145254,-1.5600477103330865
ODP0129-0801B-042R-002/000-007,30.64116565965761,4.773892710073987,-3.140980005325723,-4.92608912182871,,-5.329542366756598,-2.6798482851946446,-2.0318447737517147,79.8775526490677,-0.5488643164423976,-2.6241250267831084,,,0.5822930929277375,1.006254606175045,1.4054060350691282,0.10687890923779264,-1.6698360158277126,0.5987725940841826,0.023274285808279727,-2.0949783365535026
ODP0129-0801B-042R-002/129-134,26.749163227492133,4.987158050198502,-6.083927877616471,-10.698388787208629,,-1.3842298591743578,-9.063659092720933,-5.200845187942917,65.40098616486941,-0.14321873906709826,-7.5972279776474565,,,0.22335010409679334,0.6896459538679753,0.6100454730691283,0.2066656326419647,-0.8972001902277196,0.4967304779913939,0.06475313916449571,-2.713047395163624
ODP0129-0801B-043R-001/022-027,27.95372236420957,22.370110488465535,-8.533303819154924,-6.734821613854066,,-5.991226174063932,-10.706174761570068,-5.540815794651124,23.730720200118846,-9.385634618720538,-5.074335001695495,,,0.41166139606714314,0.7694509419513986,0.6133129098255745,-0.9629137459903987,0.8990189610208246,1.1719176462153142,0.035548336396858615,-4.313287024799913
ODP0129-0801B-043R-001/128-134,17.388607363634257,9.457557953423859,-2.015481480389891,-9.789124013738451,,-8.847955983316776,0.257432911936597,-0.1677927369688561,2.954404288611542,-6.032680878155496,-1.764635123692507,,,-0.20125435896150368,-0.2212753783831367,0.2178980181207013,-3.6478916859990065,2.5629584965439225,-0.18158477114398774,0.028698446478717665,-3.9933308372115537
ODP0129-0801B-043R-004/005-010,56.819080614028,17.31073598629642,-9.374413928124497,-11.855992268659953,,15.232130968604388,-11.872168985344828,-5.379837366564232,56.06656053096217,-7.047093190547024,-8.472790610324985,,,-0.14579047287141744,0.9822854363564706,0.9735330391901851,0.16965266521507516,-4.724223514568841,0.9584942108238357,0.061994495023832585,-3.5998193110975176
ODP0129-0801B-044R-001/018-024,45.14591171658813,9.356890569231233,-8.644350184285102,-3.347376744357625,,12.853259319615624,-6.554868178479424,-0.94351268469768,97.09731035244347,-2.984621848330928,-2.8376073683166254,,,0.20715959673176432,0.7399256197277602,1.5933259469721146,-2.060148720699459,-4.270473371149926,1.121035724401755,0.030359154007290057,-0.2982332906291614
ODP0129-0801B-044R-001/107-113,71.5111856662229,21.680128249477185,-5.999858337570348,-14.562928894796485,,51.28555422675438,-8.184444835491092,-6.480512030281595,-11.320392728786311,-16.517628146690715,-7.976996432999595,,,0.4343372048854883,0.504837726290158,-0.0648658420449153,3.553028234069309,-4.936690093065114,0.48162589130421773,0.08142809657330158,-6.9519448391959475
ODP0129-0801B-044R-002/027-032,70.35109406295257,29.526677915790508,-9.28216063489112,58.96674420562522,,61.33690106594523,-8.890377589290338,-2.249479566041785,81.81467009788312,-11.152806734003407,-4.530668108493405,,,0.32153913676338153,0.9850966014638951,1.6096274880172419,4.51393666666165,-5.355270250438354,0.3265055551692857,0.03148763786522857,-6.536232897813909
ODP0129-0801B-044R-003/028-033,36.912267765900644,9.659077663967658,-7.914154803144271,-3.561461818630754,,-0.90738967735453,-10.582130269507289,-6.020749086815393,112.78665218220712,-1.6233503223077825,-2.8606209192820273,,,0.5123839349108206,1.3873381353033656,1.2514839726008686,0.23116182408907804,-2.837320764109392,1.1361901453556644,0.040658423175113256,-2.369138182777588
ODP0129-0801C-001R-001/014-020,21.779849467134973,1.167779384233306,-3.761175647163892,-8.990552031721123,,-5.70884531100409,-1.6251117355103872,0.3418948886066744,-13.960741695890599,-3.143909095509912,-1.1752434181256142,,,0.11374089575719903,0.27028602030532634,0.8673396208070407,-3.311876159650623,3.418045304632317,-0.4306120445686643,0.04403512065444293,-3.3019917986576344
ODP0129-0801C-001R-001/109-114,27.270438602063066,12.073478312452153,-4.870303355133402,-7.0572503231226875,,-10.32937513248957,-7.70368583376397,-6.162730818058577,-17.43407753617167,-10.453864096249028,-3.5488166212160372,,,0.07856718037914057,0.38446299231722536,0.10384716367874969,-2.0984960180797003,2.509609489290357,0.5237682030936366,0.06348538556352668,-3.9034520785574633
ODP0129-0801C-001R-005/033-038,38.6831297671111,88.50580164073266,-8.806797245748921,0.22848098375616388,,1.6958224633029104,-10.582130269507289,-6.230157386402496,42.162487423666946,-4.167608475035884,-4.494257659807641,,,0.2631588560562328,1.2809800565015186,1.0155405983291637,-1.2980698079019675,-2.14746962405295,1.6921488783805732,0.027548411334764378,-3.019391613289642
ODP0129-0801C-002R-001/112-118,34.51267760612892,9.659077663967658,-9.066870946958819,-10.872809720215102,,-3.409098953173725,-7.023364196404657,-1.8020431684956506,14.656718999333886,-3.8579022584392604,-2.11492886058058,,,-0.007197043255317226,1.1544669990439997,2.007306873298797,-1.7627946082855317,-2.921885470335744,1.0490770154001918,0.09718273148182999,-2.6472064789800784
ODP0129-0801C-002R-003/114-119,40.84756151514486,15.303736876508978,-7.565974500592592,5.622238283115919,,6.490467919930936,-13.289318870222964,-3.6067907213667425,-15.264781920569751,-2.647819804232306,-6.978330896423465,,,-0.15171484214093134,0.20623992887794262,0.6808969940840428,-1.855401041127827,-2.57869472221919,1.071500342351892,0.07750504425600924,-3.6381309283352667
ODP0129-0801C-002R-004/071-076,37.51788001492159,12.467764581405149,-8.389737946028006,-7.968796099200738,,2.957456028032709,-8.684430929943112,-0.46047761873695237,0.6686022100001736,-2.9290005682636995,-2.135816627185509,,,0.32491675710577894,1.0631986881159037,1.9582931722511967,-1.2904428006708315,-1.8437076453439207,0.9574664348068196,0.019541750798227397,-2.61441683923655
ODP0129-0801C-005R-001/103-105,92.08683139237323,19.896466162906332,-0.6293209928269665,19.70243087882345,,118.0654243948293,-0.9736463677007525,-0.7711296071204656,8.207294542508654,-0.43220957395715853,1.332768030712053,,,-1.1170809020648047,-2.4977533307233744,-2.6984493451347977,2.022546434105891,-5.799571858014019,-0.9625340870336592,-0.08094873486644605,-6.514484475427002
ODP0129-0801C-005R-002/087-089,27.46021025454748,0.5103454008978534,-0.6942798760622155,6.368310297343863,,10.39783398895489,-1.1518364397574583,-0.848659623738155,10.10979214989011,3.6012183878384936,-0.5801081516903306,,,-2.0687232104446203,-2.1373740643531267,-2.171987109456494,-4.807913789772776,-4.803106929460309,0.7388778702070158,-0.07322470250880951,1.8512419265225635
ODP0129-0801C-005R-003/038-043,2.181875463647528,-3.5813571950370084,-2.006546885545836,3.4380702440112945,,-2.6167260397745786,-3.1132765995240232,-2.763294804240696,8.302010997646038,1.4299742599248022,-1.0030851008296509,,,-0.292959200519026,-0.848910068219034,-0.8534985423120984,-3.603066055434361,-3.2171815747712484,0.529594945822276,-0.044436541972736235,1.8767039920850959
ODP0129-0801C-005R-003/125-131,48.26495345307293,1.41108265030099,0.5762172940355977,35.09057255728631,,18.091144921357678,2.5087847642718124,1.673474078262049,60.217774069329785,-1.6642546485683747,3.0684735108902634,,,5.164758678224113,4.222201499414496,5.49763030035439,-4.78472126423803,-3.4647691475840903,-1.2641777516554862,-0.049671632657807885,-3.3422613836005466
ODP0129-0801C-006R-002/029-034,4.198597241068355,-4.29764183499593,-3.122371323064381,3.8322137760690245,,-2.0072972132398887,-3.1960064221502833,-3.013621807893793,8.93320507497317,-0.332762629633204,-1.1965004888610116,,,0.46129835664088326,0.35872310758253967,0.3410620946918437,-3.4805689922119,1.542825900079535,0.013352213544635116,-0.05122500607572801,0.5218751783583429
ODP0129-0801C-006R-002/119-124,0.8311699185822512,-5.938352869441477,-3.263051298529422,-4.921894034929762,,-2.3775982825955544,-3.279622781326554,-3.046622621188069,8.37146640372266,-0.36585258956866706,0.048577325342384015,,,0.7782524871114997,0.4220847278578317,1.2814191353933158,-3.03972332688906,-0.450000524738134,0.3592107371241777,-0.095876526659339,2.4227610686059773
ODP0129-0801C-006R-003/037-042,12.49079035245437,-2.552527662361044,-2.5353776144986715,28.39839376334507,,12.369226417472525,-1.549033097057329,-0.8752166824142984,10.063428103986992,0.33765851441436023,0.14932235717046982,,,-0.062002056099689895,-0.38863527346285265,0.2076659687524267,-7.6809993082841785,-8.837302528088593,0.9588510861141195,-0.05445927402665291,5.383906607594421
ODP0129-0801C-007R-001/053-058,-3.4555271798140694,-2.9143691265809064,-3.0300982663623346,-5.253596259602305,,-6.463655163519097,-2.1386736345479624,-3.2470927574113233,53.086977344290865,-1.632518335996509,-0.2645612355572311,,,1.3238614823221155,1.9508953236177886,3.645946770515166,-1.8072549758362015,-0.527470239983403,0.3186935718519104,-0.031038915182873883,0.8718759128686404
ODP0129-0801C-007R-001/099-105,-3.979845547990741,-4.4955654341455835,-3.667218354376991,8.227762071929945,,-6.696175379624743,-4.649700861395636,-6.179444467034123,52.147211647102,-3.1161747632279075,-0.6922163230042848,,,3.52661494205344,2.5701318275934026,4.126870770611988,-2.8509199226687656,-2.9691133966792576,0.702548965094421,-0.043934439712256856,1.4650092560842083
ODP0129-0801C-007R-003/000-005,16.96843048527941,-4.562345148608645,-3.216781236688578,2.4410659128323875,,-0.47674105184391014,-4.077424287240829,-4.683268670122733,81.07221515592182,-1.9263110483812644,-1.2059677571752978,,,0.7552228014875766,1.1586150267054647,2.550975987537546,-3.0528725325645,-1.2969429873515201,0.45542613151428135,-0.09535420010214371,0.787993528052592
ODP0129-0801C-007R-004/077-083,-1.8744071192440046,-6.506079215334928,-3.6570446066004174,8.444487229672045,,-6.832921995198245,-5.180050268597953,-6.217366825142594,66.38158215347553,-3.6897844336054115,-1.6083073359970772,,,3.9726417223144956,2.902118048637753,4.414881940710606,-1.0596362969027098,-2.928714407588127,0.7300210147499122,-0.1074349028070348,1.2202638720510404
ODP0129-0801C-007R-004/137-142,-1.6099819554509542,-4.038277758936559,-3.3974267336490427,-6.486458903769968,,-6.430778783523053,-3.376537704706398,-4.71726432637955,53.36027911908475,-1.4215314555064156,-0.3632015054075257,,,2.081673102651222,1.8686499267693666,3.7030016351720256,-3.425734821127797,-1.4506108982297237,0.6083293371129441,-0.09568438216295927,2.1248223262010786
ODP0129-0801C-008R-001/065-067,26.69473596923297,-1.8910188395305134,-3.1982576477596645,26.311551416502123,,6.0492522821308885,-4.870503671654101,-2.9326329691210233,15.322630538605184,-1.6476218569826147,-1.6772525413817085,,,0.7883456510799522,-0.8200979606021912,-0.5645424520693929,-3.355581600987712,-4.159406102944362,0.8619652936306164,-0.10763335626720846,0.6207548351850569
ODP0129-0801C-008R-001/101-106,-0.03519064787563497,-6.187532856288565,-3.2797796748255132,-6.432750066205465,,-6.221754189384248,-3.2986287128268454,-4.825160920110358,53.39247290584957,-1.9007798946309942,-0.6364659071800514,,,2.193130081141497,2.0664236946609247,4.109607371681585,-2.635887545937912,-1.1186390849304821,0.5657001052798063,-0.09411426290505523,1.587554177331267
ODP0129-0801C-008R-002/078-080,-1.5217238770763224,-6.289405198152825,-3.896178974833999,0.020962010810462672,,-6.517360150425537,-5.130975043333095,-6.007612546243968,68.82063263363956,-3.088933757263737,-1.5658868904035899,,,2.698042700477667,2.041504421477078,2.9299782823923044,-2.445787858185682,-1.099789922815777,0.6716532912469355,-0.018938482728595052,2.722010507288802
ODP0129-0801C-008R-002/133-139,0.6169046798544047,-2.4650840033045656,-4.085950446548905,9.143211642774766,,-6.619497549703404,-3.7259274759002983,-3.2544422214557525,65.56460274643212,-1.1789889304314345,-0.7989597010571199,,,1.3943170300875245,1.326222744200174,1.6557486841939495,-1.3359763779575644,-0.7236948199951474,0.8487895102983294,-0.032921392299791546,1.1892284172688594
