Sample ID,DataBase,SAMPLE_INFO
329-U1368F-10R-1-W 0/3,South_Pacific,Seafloor altered basalt
329-U1368F-10R-1-W 3/5,South_Pacific,Seafloor altered basalt
329-U1368F-10R-1-W 112/116,South_Pacific,Seafloor altered basalt
329-U1368F-10R-2-W 57/62,South_Pacific,Seafloor altered basalt
329-U1368F-11R-1-W 10/14,South_Pacific,Seafloor altered basalt
329-U1368F-11R-1-W 81/86,South_Pacific,Seafloor altered basalt
329-U1368F-11R-1-W 133/137,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 20/23,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 74/76,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 76/78,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 110/116,South_Pacific,Seafloor altered basalt
329-U1368F-12R-1-W 29/33,South_Pacific,Seafloor altered basalt
329-U1368F-12R-1-W 71/74,South_Pacific,Seafloor altered basalt
329-U1368F-12R-2-W 11/13,South_Pacific,Seafloor altered basalt
329-U1368F-12R-2-W 13/16,South_Pacific,Seafloor altered basalt
329-U1368F-12R-2-W 122/127,South_Pacific,Seafloor altered basalt
329-U1368F-12R-3-W 51/55,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 7/11,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 71/75,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 114/115,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 115/117,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 54/55,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 55/57,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 108/110,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 120/124,South_Pacific,Seafloor altered basalt
329-U1368F-13R-3-W 52/56,South_Pacific,Seafloor altered basalt
329-U1368F-13R-3-W 131/135,South_Pacific,Seafloor altered basalt
329-U1368F-13R-4-W 22/27,South_Pacific,Seafloor altered basalt
329-U1368F-14R-1-W 39/43,South_Pacific,Seafloor altered basalt
329-U1368F-14R-1-W 140/145,South_Pacific,Seafloor altered basalt
