Sample ID,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
329-U1365E-2R-1-W 36/40,0.19380033460392018,0.7689574094307873,2.0119565819063197,1.7570990594504168,4.030288034379685,5.118932639644113,4.100950632131936,4.497982368195688,6.80872566346387,7.368573561045191,6.599579650075462,6.890061936280043,50.32280680822592,8.17758406878814,2.5825327071456057,0.23563160583644222,11.332417154675147,7.132142857142857,0.8981406544956977,6.8231858541748736,3.0813398907609155
329-U1365E-2R-1-W 65/69,0.5561576539082213,0.9240750698292876,2.3210637557767106,2.380192809893309,3.61152478916444,4.7447342503738605,4.684948584976714,4.421821983541541,6.674755512544443,7.355442178711085,6.702235565469543,6.917421838186767,50.01421920382866,7.725597975568321,2.5083080518497005,0.1617665815481914,11.445557949591253,6.946428571428571,1.2223529411764693,6.684878032806464,2.842427131723701
329-U1365E-3R-1-W 130/134,0.5581519049539025,1.1724419195667846,2.4181130268821587,2.2291103490587307,3.505863824810104,4.544870024956867,4.451519025463425,4.165843531274379,6.39642220095409,6.987159422908455,6.573449714707656,6.644289794696514,49.992789396136544,7.889291653236868,2.35794180640647,0.15052977027810163,11.324842342718883,6.600892857142858,1.209411764705881,6.500467604315252,2.7534363692488872
329-U1365E-3R-2-W 20/22,0.6953463963803668,1.0554290031251385,2.4268928988122807,2.5215452848686803,3.574529992158365,4.680471707111235,4.727890254252828,4.434495995401963,6.548594644573872,7.189721865141001,6.601600889270381,6.697260819404632,49.925178116308366,7.813320909424215,2.460367665536183,0.16635889692004355,11.372406495495719,6.817857142857143,1.1776470588235293,6.546570211438055,2.743832466026883
329-U1365E-3R-2-W 22/24,0.17841753719414116,0.7862825420862971,1.9693635759272574,1.5586954064733949,4.015998914109866,4.89722663296117,3.7498204132478703,4.294382730395213,6.67094678729337,7.307662321615448,6.577219728266581,6.870218403579331,50.33433391000022,8.212410718706668,2.514963581858839,0.2445875025640506,11.27495279140627,6.869642857142857,0.8564727639797906,6.7309806399292675,3.0283727130333244
329-U1365E-3R-2-W 52/56,0.24338474299913554,0.5185463189312013,1.0334310961044906,1.5683536725520035,3.0441857816008935,3.741890002502936,2.4691167594484194,4.38837281361449,4.858710373388519,6.132216256644508,5.384023985780929,5.4876498992719025,49.63444984685576,8.223830295671949,2.260722666391431,0.12526411116907232,11.556890343517999,5.675892857142857,0.44530692459059407,5.532312854736384,2.0086335270817486
329-U1365E-3R-3-W 33/37,0.28458185035379263,0.4470409605312739,1.0823090831443987,1.7231469220668454,2.7347630516050514,3.479784404806088,2.6431887348192697,4.651219666812111,4.5130329083782454,5.870803115570536,5.204964445043561,5.404894608510082,49.27512043912644,8.159636976521448,2.190898187661221,0.10515235922936099,11.908261614975824,5.370535714285714,0.3346906234946059,5.071286783508351,1.860232651182394
329-U1365E-3R-3-W 112/116,0.4650284881157692,0.7287906696767922,1.7487440324405314,1.8825141476209428,2.6012663217124277,3.372064163125315,3.268708760481315,4.158375984584143,4.597195763296855,5.992282769130598,5.539327809029827,5.638297504930414,49.40128708351303,7.940297713317477,2.2001635842593967,0.10680110624214369,11.92288076665882,5.216071428571429,0.7282352941176459,5.16349199775396,1.7570480961899018
329-U1365E-3R-4-W 66/68,0.8366911607696591,0.8494488805266959,1.783498356594006,1.9476199843001687,2.808460572669053,3.681669126226578,3.6895771454313206,4.045612080787574,4.967026083555786,6.250968236022646,5.8020518230050415,5.881415377629306,49.8022493929769,7.911683658700084,2.2563953889257533,0.12006784787789758,11.801594741883958,5.3776785714285715,0.8705882352941164,5.394005033367974,1.8998184169354502
329-U1365E-3R-4-W 68/70,0.24294863392025606,0.5324215528439181,1.023631043518997,1.5622258020680473,3.032852268382215,3.7139299994551735,2.3968250595700424,4.342361367730372,4.857580992561118,6.09589979998995,5.483688713153703,5.508870826876974,49.625127601942246,8.336981698567055,2.2457947321094927,0.12719619564932722,11.621711344613505,5.564285714285715,0.45104766269708346,5.532312854736384,2.0587247355868272
329-U1365E-4R-1-W 22/24,0.7356904433502923,1.0273299935665403,1.9787080512128792,2.530808106907914,3.573892569667829,4.660531175300645,4.461777718091888,4.155900519709254,6.648803757137226,7.230122977405622,6.699986401460544,6.782392949633075,50.204616050944836,7.907294911506041,2.368166900562165,0.1947935418280412,11.417771734904553,6.715178571428571,1.1656893137954305,6.638775425683661,2.580830787956453
329-U1365E-4R-1-W 24/25,0.6473440915612695,1.0687221539567464,1.8252579423586055,2.456984008389406,3.2998572641565462,4.440934162800656,4.635433309749262,3.9256736938323966,6.3320215403253926,6.984878916349917,6.550273119884531,6.53494742135529,50.057060245402155,8.040538526863106,2.2760904992676436,0.15727743733662905,11.312587361877322,6.429464285714286,1.0958798637215081,6.454364997192448,2.515285942576599
