,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,Unnamed: 0.1,Top Depth (m),Bottom Depth (m),Sample Pair,Sample Pair ID,TFe2O3,TOTAL,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),CaO*,CIA*,CIA,SAMPLE_INFO,Depth_to_basement,Core_Site,Core_hole,DataBase
ODP0129-0801B-037R-001/036-038,,,,,,241.07883817427384,,,,,,,72.38562091503267,,,7.074468085106384,,19.21259842519685,15.891238670694863,27.758620689655174,,,4.019464720194647,30.393996247654787,,17.06713780918728,,,58.4569740004823,89.87341772151899,22.67515923566879,12.795275590551181,,,,,,119.01901165860244,48.608137044967876,,,3.0346736625944106,0.9554655870445343,,61.89473684210526,,36.46551724137931,,,,,,,,,30.653594771241835,,18.457300275482094,200.71428571428572,132.62032085561495,,80.66698057825002,35.960033555786495,,,123.625,,,19.808917197452228,12.941176470588236,,43.66925064599483,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,59.69,2.67,19.57,,3.91,,,,,0.191,2.65,1.4,,2.34,7.3,0.446,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,283.0,,,,,57.6,,,,,61.1,,,,,,,,,,,Northwest,36.0,38.0,37.0,461.86,,,,,,,,,,,,,,,,,,,,,1.3990573747393338,57.786027315293545,57.78895185728541,No_database_info,-0.1399999999999863,801,801,No_database_info
ODP0129-0801B-041R-001/026-030,,,,,,187.13692946058092,,,,,,,107.18954248366012,,,1.6489361702127658,,24.763779527559056,18.429003021148034,42.58620689655172,,,5.4987834549878345,61.44465290806754,,20.318021201413426,,,19.218731178240755,125.73839662447259,15.286624203821656,15.236220472440946,,,,,,147.6819583055625,72.8051391862955,,,4.6948987156729665,0.7692307692307692,,89.47368421052632,,21.206896551724142,,,,,,,,,47.84313725490196,,74.93112947658402,252.1428571428571,196.79144385026737,,85.1245951635178,42.69412223664539,,,126.25,,,20.955414012738853,15.117647058823527,,80.1033591731266,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.92,3.17,16.76,,10.66,,,,,0.154,5.18,8.61,,3.53,2.4,0.69,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,28.8,,,,,40.7,,,,,87.0,,,,,,,,,,,Northwest,26.0,30.0,28.0,483.26,,,,,,,,,,,,,,,,,,,,,8.608541678408386,41.05876926824241,41.06143650344806,No_database_info,21.25999999999999,801,801,No_database_info
ODP0129-0801B-041R-002/074-079,,,,,,177.59336099585062,,,,,,,106.86274509803923,,,1.8031914893617023,,24.52755905511811,18.429003021148034,41.72413793103448,,,5.4987834549878345,59.75609756097561,,20.49469964664311,,,22.662087181008886,127.00421940928271,15.031847133757962,15.47244094488189,,,,,,147.0769393022798,72.59100642398286,,,4.7017029167101745,0.9190283400809716,,88.94736842105263,,24.870689655172416,,,,,,,,,47.450980392156865,,73.14049586776859,247.85714285714286,193.85026737967914,,86.58968089025088,40.80857740600489,,,115.75,,,20.82802547770701,15.352941176470587,,72.86821705426357,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.7,3.03,16.82,,10.9,,,,,0.171,5.1,8.95,,3.46,2.83,0.691,,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,34.4,,,,,40.7,,,,,90.3,,,,,,,,,,,Northwest,74.0,79.0,76.5,485.24,,,,,,,,,,,,,,,,,,,,,8.948539564898832,40.19308566769272,40.195636186226686,No_database_info,23.24000000000001,801,801,No_database_info
ODP0129-0801B-043R-003/111-114,,,,,,175.93360995850622,,,,,,,116.01307189542484,,,2.404255319148936,,30.31496062992126,21.75226586102719,51.37931034482758,,,6.909975669099757,44.74671669793621,,25.08833922261484,,,29.54879918654516,148.52320675105486,7.261146496815287,18.34645669291339,,,,,,186.61531090326366,87.3661670235546,,,5.422948226654138,0.902834008097166,,103.36842105263158,,24.267241379310345,,,,,,,,,60.71895424836601,,45.17906336088154,222.14285714285714,255.6149732620321,,111.51330898671688,44.57966706728588,,,422.5,,,31.401273885350314,17.41176470588235,,73.90180878552971,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.77,3.31,16.85,,8.02,,,,,0.549,5.86,9.8,,2.95,3.69,0.797,,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,61.5,,,,,77.0,,,,,68.9,,,,,,,,,,,Northwest,111.0,114.0,112.5,496.09,,,,,,,,,,,,,,,,,,,,,9.798315532886209,38.72199390295772,38.724719430535394,No_database_info,34.089999999999975,801,801,No_database_info
ODP0129-0801C-001R-005/033-035,,,,,,308.7136929460581,,,,,,,102.12418300653594,,,2.0372340425531914,,25.15748031496063,19.03323262839879,42.75862068965517,,,5.59610705596107,60.69418386491557,,20.848056537102472,,,20.4199018768808,119.40928270042195,13.184713375796177,15.82677165354331,,,,,,138.72012957080096,70.66381156316916,,,4.640465107375309,0.9271255060728745,,86.10526315789474,,22.06896551724138,,,,,,,,,47.38562091503268,,48.07162534435262,235.0,196.79144385026737,,75.3004163805239,41.886031594942324,,,120.25,,,22.038216560509554,15.882352941176471,,80.1033591731266,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.61,3.11,17.23,,10.99,,,,,0.162,5.16,6.58,,5.02,2.55,0.682,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,24.3,,,,,51.0,,,,,83.5,,,,,,,,,,,Northwest,33.0,35.0,34.0,498.88,,,,,,,,,,,,,,,,,,,,,6.578558586484811,42.84778940938399,42.85058214881471,No_database_info,36.88,801,801,No_database_info
ODP0129-0801C-002R-005/024-028,,,,,,229.04564315352695,,,,,,,118.13725490196079,,,1.4680851063829787,,27.874015748031496,21.933534743202415,43.27586206896551,,,6.131386861313869,66.13508442776735,,23.674911660777386,,,29.46872113996916,139.66244725738397,6.815286624203821,19.055118110236222,,,,,,165.59871521893874,78.58672376873662,,,5.2324305976123355,1.1295546558704452,,97.47368421052632,,24.698275862068964,,,,,,,,,50.84967320261438,,55.92286501377411,252.1428571428571,211.49732620320856,,88.73745931276302,26.666991176201222,,,196.25,,,25.796178343949045,18.882352941176467,,103.10077519379844,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.88,1.98,14.17,,9.16,,,,,0.327,7.41,11.84,,4.04,3.68,0.769,,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,12.0,,,,,7.8,,,,,90.0,,,,,,,,,,,Northwest,24.0,28.0,26.0,508.73,,,,,,,,,,,,,,,,,,,,,11.838374711153694,30.58707269949561,30.58902391930469,No_database_info,46.73000000000002,801,801,No_database_info
ODP0129-0801C-005R-001/095-098,,,,,,74.68879668049792,,,,,,,7.434640522875817,,,3.5531914893617023,,12.283464566929133,11.057401812688822,14.155172413793101,,,2.3844282238442824,15.47842401500938,,11.837455830388693,,,64.86321772656254,5.738396624472575,22.101910828025478,9.763779527559056,,,,,,4.011430777301331,11.71306209850107,,,0.580398348473774,0.09959514170040484,,10.063157894736841,,33.83620689655173,,,,,,,,,13.006535947712418,,12.245179063360883,2.7785714285714285,75.66844919786097,,2.428978853766865,14.54563155065521,,,38.125,,,13.630573248407641,9.647058823529411,,16.020671834625322,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,57.38,1.08,19.63,,5.94,,,,,0.0541,2.17,4.97,,1.46,8.1,0.0853,,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,18.3,,,,,64.8,,,,,44.0,,,,,,,,,,,Northwest,95.0,98.0,96.5,532.15,,,,,,,,,,,,,,,,,,,,,4.969819717635123,49.27761426604718,49.2780197538779,No_database_info,70.14999999999998,801,801,No_database_info
ODP0129-0801C-006R-003/042-045,,,,,,1.921161825726141,,,,,,,15.980392156862745,,,0.9042553191489362,,22.559055118110237,22.235649546827794,20.68965517241379,,,4.228710462287105,23.35834896810507,,22.614840989399294,,,6.678509084438662,13.924050632911392,8.9171974522293,23.46456692913386,,,,,,6.145834797700787,20.492505353319057,,,0.4844591138491525,0.145748987854251,,18.736842105263158,,5.6465517241379315,,,,,,,,,21.764705882352942,,19.97245179063361,13.428571428571429,128.87700534759358,,8.820151533977995,15.353722192358276,,,58.87499999999999,,,13.503184713375795,22.0,,14.909560723514213,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.0,1.14,21.89,,6.01,,,,,0.148,2.39,14.07,,3.04,0.834,0.0712,,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,117.0,,,,,244.0,,,,,59.1,,,,,,,,,,,Northwest,42.0,45.0,43.5,543.71,,,,,,,,,,,,,,,,,,,,,14.069849518119822,41.0110748809297,41.0112851062074,No_database_info,81.71000000000004,801,801,No_database_info
ODP0129-0801C-007R-003/043-048,,,,,,2.576763485477178,,,,,,,6.388888888888889,,,0.27180851063829786,,11.417322834645669,11.117824773413897,12.46551724137931,,,2.1119221411192215,16.51031894934334,,11.466431095406362,,,3.6115199005777407,4.4303797468354436,10.0,11.141732283464567,,,,,,3.517924088195203,9.807280513918629,,,1.0410427586927011,0.18582995951417003,,8.505263157894737,,3.245689655172414,,,,,,,,,10.718954248366012,,17.21763085399449,2.4785714285714286,64.17112299465239,,1.9168534766966414,20.60631136342822,,,66.875,,,23.694267515923567,10.76470588235294,,24.806201550387595,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,41.9,1.53,11.99,,13.73,,,,,0.236,5.5,21.75,,2.28,0.451,0.153,,11.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,58.6,,,,,65.7,,,,,78.7,,,,,,,,,,,Northwest,43.0,48.0,45.5,553.41,,,,,,,,,,,,,,,,,,,,,21.74967663303838,21.49716230218587,21.497388915420025,No_database_info,91.40999999999995,801,801,No_database_info
ODP0129-0801C-009R-004/001-004,,,,,,2.738589211618257,,,,,,,14.640522875816995,,,0.018085106382978722,,22.16535433070866,21.148036253776436,20.86206896551724,,,4.160583941605839,24.577861163227016,,21.908127208480565,,,0.31790984490673246,10.970464135021098,4.477707006369426,20.393700787401578,,,,,,7.404305888425029,19.357601713062095,,,0.9117629389857647,0.07692307692307691,,17.157894736842103,,0.021767241379310347,,,,,,,,,21.69934640522876,,17.079889807162534,12.071428571428571,127.27272727272725,,3.070807477636755,20.202266042576685,,,6.425,,,23.37579617834395,20.058823529411764,,25.60723514211886,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.83,1.5,13.71,,12.04,,,,,0.204,6.41,13.56,,2.67,0.0397,0.134,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,64.8,,,,,62.7,,,,,83.9,,,,,,,,,,,Northwest,1.0,4.0,2.5,566.35,,,,,,,,,,,,,,,,,,,,,13.55971678971989,32.03261109111423,32.032996483759995,No_database_info,104.35000000000002,801,801,No_database_info
ODP0129-0801C-011R-002/145-148,,,,,,2.684647302904564,,,,,,,17.483660130718953,,,0.9202127659574467,,25.47244094488189,24.773413897280964,23.103448275862068,,,4.817518248175182,30.393996247654787,,25.441696113074205,,,1.3693345964496537,12.869198312236287,5.127388535031847,24.173228346456693,,,,,,7.580462751808755,22.912205567451817,,,1.1226931711391879,0.1712550607287449,,20.736842105263158,,2.336206896551724,,,,,,,,,25.42483660130719,,16.666666666666668,14.5,147.05882352941177,,3.6990683789484864,24.10803747747484,,,8.9125,,,28.343949044585987,23.41176470588235,,28.682170542635657,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.71,1.79,14.29,,13.2,,,,,0.219,5.68,14.47,,2.44,0.171,0.165,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,52.2,,,,,72.5,,,,,93.3,,,,,,,,,,,Northwest,145.0,148.0,146.5,580.75,,,,,,,,,,,,,,,,,,,,,14.469651270923745,31.898429021732596,31.898880506003184,No_database_info,118.75,801,801,No_database_info
ODP0129-0801C-012R-002/111-113,,,,,,3.1991701244813275,,,,,,,18.30065359477124,,,0.4643617021276596,,23.740157480314963,23.323262839879153,21.379310344827584,,,4.476885644768857,27.579737335834896,,23.674911660777386,,,0.6518352991286658,14.59915611814346,4.3312101910828025,23.77952755905512,,,,,,8.844688985235216,22.48394004282655,,,1.2859939960321607,0.15587044534412955,,20.526315789473685,,0.5129310344827587,,,,,,,,,23.986928104575163,,21.34986225895317,15.571428571428571,136.63101604278074,,4.841793737894631,23.838673930240486,,,24.75,,,30.0,22.64705882352941,,30.74935400516796,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,42.08,1.77,11.55,,13.84,,,,,0.426,6.4,21.11,,2.29,0.0814,0.189,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,42.9,,,,,40.0,,,,,76.7,,,,,,,,,,,Northwest,111.0,113.0,112.0,589.91,,,,,,,,,,,,,,,,,,,,,21.10960054669447,21.47336733589804,21.473657291940487,No_database_info,127.90999999999995,801,801,No_database_info
ODP0185-0801C-014R-001/086-088,,,,,,6.473029045643153,,,,,,,23.366013071895427,,,0.13138297872340426,,31.181102362204722,30.090634441087616,28.62068965517241,,,5.888077858880779,37.5234521575985,,30.91872791519435,,,0.7311125652389088,18.438818565400844,4.261146496815287,29.488188976377955,,,,,,10.117954257628396,29.550321199143468,,,1.8779594862691869,0.2825910931174089,,26.842105263157894,,0.3823275862068966,,,,,,,,,31.568627450980394,,17.493112947658403,22.142857142857142,179.67914438502672,,4.941299802285958,29.2259448749276,,,12.4375,,,32.9936305732484,28.41176470588235,,35.65891472868217,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.93,2.17,13.85,,13.79,,,,,0.28,6.47,12.46,,2.67,0.0913,0.276,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,56.8,,,,,47.6,,,,,105.0,,,,,,,,,,,Northwest,86.0,88.0,87.0,604.86,,,,,,,,,,,,,,,,,,,,,12.459416671363355,33.78381523693501,33.784689282560215,No_database_info,142.86,801,801,No_database_info
ODP0185-0801C-015R-002/117-120,,,,,,6.348547717842323,,,,,,,21.07843137254902,,,0.476063829787234,,28.543307086614174,25.438066465256796,28.103448275862064,,,31.143552311435528,31.80112570356473,,26.855123674911663,,,4.204097445240165,16.540084388185655,8.853503184713375,22.440944881889763,,,,,,10.111670435792735,27.623126338329765,,,1.4833158261111692,0.2283400809716599,,25.157894736842106,,2.4353448275862073,,,,,,,,,30.065359477124183,,22.31404958677686,23.857142857142858,31.01604278074866,,5.278088503737348,29.360626648544777,,,68.375,,,30.76433121019108,23.0,,36.434108527131784,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.89,2.18,17.21,,11.49,,,,,0.0941,4.42,10.08,,3.51,0.525,0.218,,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,71.4,,,,,61.5,,,,,110.0,,,,,,,,,,,Northwest,117.0,120.0,118.5,616.19,,,,,,,,,,,,,,,,,,,,,10.079539254917432,41.09366558693218,41.09448760288845,No_database_info,154.19000000000003,801,801,No_database_info
ODP0185-0801C-015R-007/096-099,,,,,,5.726141078838174,,,,,,,22.38562091503268,,,0.1547872340425532,,21.496062992125985,19.03323262839879,24.827586206896548,,,24.47688564476886,37.429643527204504,,20.141342756183743,,,1.0249989961728403,18.481012658227847,6.687898089171974,17.007874015748033,,,,,,14.386759747363099,26.552462526766593,,,1.5513578364832412,0.23684210526315785,,25.052631578947366,,0.5258620689655172,,,,,,,,,26.470588235294116,,20.798898071625345,25.928571428571427,23.58288770053476,,6.43790115887543,30.842126158333734,,,25.25,,,20.254777070063692,17.352941176470587,,43.41085271317829,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,43.95,2.29,17.19,,19.83,,,,,0.0617,5.84,6.4,,3.1,0.128,0.228,,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,76.1,,,,,100.0,,,,,226.0,,,,,,,,,,,Northwest,96.0,99.0,97.5,622.34,,,,,,,,,,,,,,,,,,,,,6.399518119821902,50.46269496231679,50.46399291001818,No_database_info,160.34000000000003,801,801,No_database_info
ODP0185-0801C-016R-002/027-031,,,,,,5.726141078838174,,,,,,,20.915032679738562,,,3.7712765957446805,,31.889763779527556,29.42598187311178,27.06896551724138,,,33.96593673965937,34.52157598499062,,31.272084805653712,,,19.37888727139276,18.31223628691983,8.662420382165605,27.95275590551181,,,,,,15.28244148128478,28.4796573875803,,,1.5581620375204488,0.2303643724696356,,25.684210526315788,,16.724137931034484,,,,,,,,,30.98039215686275,,20.24793388429752,18.0,33.42245989304813,,7.824623199848076,27.205718270669934,,,95.5,,,41.464968152866234,26.705882352941174,,43.92764857881137,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,42.36,2.02,12.66,,19.57,,,,,0.212,5.63,13.67,,2.2,2.42,0.229,,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,30.9,,,,,70.5,,,,,67.0,,,,,,,,,,,Northwest,27.0,31.0,29.0,625.01,,,,,,,,,,,,,,,,,,,,,13.669516006312348,28.93493843240404,28.93552040402741,No_database_info,163.01,801,801,No_database_info
ODP0185-0801C-016R-002/082-086,,,,,,4.647302904564315,,,,,,,22.22222222222222,,,1.069148936170213,,28.937007874015745,27.009063444108758,29.482758620689655,,,31.338199513381998,41.651031894934334,,27.915194346289756,,,5.869720814021031,17.38396624472574,6.496815286624203,25.236220472440948,,,,,,13.85767506778701,29.33618843683083,,,1.843938481083151,0.380161943319838,,26.631578947368418,,4.827586206896552,,,,,,,,,31.11111111111111,,23.553719008264462,24.214285714285715,31.01604278074866,,4.882240069578555,38.11494193366134,,,53.5,,,35.031847133757964,25.117647058823525,,48.83720930232558,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.77,2.83,18.5,,8.98,,,,,0.15,2.76,13.41,,3.41,0.733,0.271,,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,28.1,,,,,39.0,,,,,57.5,,,,,,,,,,,Northwest,82.0,86.0,84.0,625.56,,,,,,,,,,,,,,,,,,,,,13.40942723891112,37.53664552005406,37.537438685579936,No_database_info,163.55999999999997,801,801,No_database_info
ODP0185-0801C-016R-005/062-065,,,,,,3.79253112033195,,,,,,,14.50980392156863,,,0.1452127659574468,,16.850393700787404,16.797583081570995,15.586206896551724,,,18.1021897810219,22.326454033771107,,17.031802120141343,,,4.396284757022572,15.611814345991563,9.171974522292993,17.874015748031496,,,,,,13.419562511220228,18.137044967880087,,,1.2655813929205388,0.14696356275303643,,17.684210526315788,,1.9827586206896552,,,,,,,,,17.77777777777778,,18.457300275482094,15.0,17.593582887700535,,7.620807668513627,17.643312343850305,,,216.25,,,21.656050955414013,16.823529411764703,,28.165374677002582,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.89,1.31,6.56,,16.65,,,,,0.499,2.97,21.59,,1.91,0.549,0.186,,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,13.5,,,,,40.4,,,,,55.7,,,,,,,,,,,Northwest,62.0,65.0,63.5,629.51,,,,,,,,,,,,,,,,,,,,,21.58960688722313,13.238808758518076,13.23899972597249,No_database_info,167.51,801,801,No_database_info
ODP0185-0801C-018R-001/064-069,,,,,,4.033195020746888,,,,,,,24.673202614379086,,,0.018617021276595744,,32.874015748031496,30.75528700906344,30.689655172413794,,,34.93917274939173,39.68105065666042,,31.625441696113075,,,0.5557416432374619,18.649789029535867,5.305732484076433,31.25984251968504,,,,,,12.972231108897113,31.90578158458244,,,1.5989872437436918,0.1631578947368421,,29.052631578947366,,0.1456896551724138,,,,,,,,,34.37908496732026,,17.21763085399449,22.428571428571427,35.294117647058826,,4.620944380769327,32.727670988974225,,,16.75,,,36.36942675159236,30.058823529411764,,42.894056847545215,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.73,2.43,13.49,,15.45,,,,,0.243,6.38,10.71,,2.84,0.0694,0.235,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,63.2,,,,,47.1,,,,,110.0,,,,,,,,,,,Northwest,64.0,69.0,66.5,642.84,,,,,,,,,,,,,,,,,,,,,10.709503325255032,35.77293957640853,35.77379626255363,No_database_info,180.84000000000003,801,801,No_database_info
ODP0185-0801C-021R-002/086-089,,,,,,3.871369294605809,,,,,,,23.202614379084967,,,0.8191489361702128,,30.551181102362204,30.33232628398791,27.06896551724138,,,32.01946472019465,27.86116322701689,,30.742049469964666,,,2.0179667737152793,19.91561181434599,7.261146496815287,30.94488188976378,,,,,,13.730592606303617,28.693790149892934,,,1.3608402074414399,0.1449392712550607,,26.526315789473685,,3.1551724137931036,,,,,,,,,29.869281045751638,,18.732782369146005,15.285714285714285,32.35294117647059,,7.525786896260331,23.703992156623308,,,114.5,,,35.796178343949045,29.235294117647054,,30.49095607235142,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,43.13,1.76,12.67,,13.27,,,,,0.25,6.07,19.04,,2.5,0.252,0.2,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,48.3,,,,,65.4,,,,,87.5,,,,,,,,,,,Northwest,86.0,89.0,87.5,672.29,,,,,,,,,,,,,,,,,,,,,19.039577298089387,24.51909984342883,24.51946452604089,No_database_info,210.29,801,801,No_database_info
