,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,Unnamed: 0.1,Top Depth (m),Bottom Depth (m),Sample Pair,Sample Pair ID,TFe2O3,TOTAL,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),CaO*,CIA*,CIA,SAMPLE_INFO,Depth_to_basement,Core_Site,Core_hole,DataBase
329-U1365E-12R-1-W 71/76,,,,,,,,,,,,,,,,,,48.91,1.93,14.17,,7.05293954496325,,5.901354409533075,,,0.21,6.02,10.84196301564723,,2.73,0.59,0.177375,,0.6394884092725116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,120.435,53.0,120.41,120.46,,,13.61,99.82882642491973,11.3476326346018,,120.41,120.46,0.1,20.0,3.0,13.0,4.0,0.06,0.0,0.0,0.0,10.841588131890257,36.32166257134241,36.32229718257896,No_database_info,49.435,U1365,U1365,No_database_info
329-U1365E-12R-2-W 66/68,,,,,,,,,,,,,,,,,,47.97,1.93,14.16,,9.072206153214214,,5.092014462107208,,,0.19,5.2,10.46564722617354,,2.78,0.94,0.198,,1.038546035550293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,121.49,54.0,121.48,121.5,,,14.73,99.60219326172384,7.816566645218549,,121.48,121.5,0.1,45.0,10.0,10.0,25.0,0.1,0.0,0.0,0.0,10.465228751282032,36.51423217744008,36.51494861933832,No_database_info,50.49000000000001,U1365,U1365,No_database_info
329-U1365E-12R-3-W 17/21,,,,,,,,,,,,,,,,,,50.07,2.02,14.71,,5.761257212606837,,5.326868508653847,,,0.2,6.38,10.7300853485064,,2.84,0.54,0.18975,,0.7996801279487326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,122.5,55.0,122.48,122.52,,,11.68,100.1595154764552,6.28045847950639,,122.48,122.52,0.1,16.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,10.729684310068706,37.26318998689335,37.26387829576586,No_database_info,51.5,U1365,U1365,No_database_info
329-U1365E-12R-3-W 128/132,,,,,,,,,,,,,,,,,,49.16,1.82,13.66,,4.19464282493225,,7.726821457560975,,,0.22,6.86,11.66578947368421,,2.66,0.08,0.165,,0.4593569003395184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,123.61,56.0,123.59,123.63,,,12.78,99.53014637402372,6.526343464653097,,123.59,123.63,0.6,5.7,0.0,4.9,0.0,0.8,0.0,0.0,0.0,11.665440744607954,34.72889101107396,34.72945085664761,No_database_info,52.61,U1365,U1365,No_database_info
329-U1365E-12R-4-W 60/64,,,,,,,,,,,,,,,,,,49.56,1.87,13.63,,3.771853996328691,,8.28733140330418,,,0.23,6.89,11.36066856330014,,2.55,0.14,0.169125,,0.1798201798201157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,124.3,57.0,124.28,124.32,,,12.98,99.55961374312024,7.067044457425641,,124.28,124.32,0.1,3.5,0.0,3.0,0.5,0.0,0.0,0.0,0.0,11.360311115996977,35.2812128915816,35.2818064349349,No_database_info,53.3,U1365,U1365,No_database_info
329-U1368F-2R-1-W 13/17,,,,,,,,,,,,,,,,,,47.981,1.91,16.48,,5.373965439300411,,3.55413110462963,,,0.12,6.72,10.66906116642959,,3.19,0.69,0.3341250000000001,,1.777866560127961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,9.35,58.0,9.33,9.37,A12,P1(F1),9.323,99.19505272655752,4.981180608695652,,9.33,9.37,0.3,15.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,10.668354990050172,39.35697791884177,39.35818477285837,No_database_info,0.1500000000000003,U1368,U1368,No_database_info
329-U1368F-2R-2-W 13/17,,,,,,,,,,,,,,,,,,47.681,1.8,16.341,,5.355173701907532,,3.59534366828322,,,0.13,7.0,11.13691322901849,,3.24,0.56,0.33825,,2.278177458033589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,10.63,59.0,10.61,10.65,F12,,9.35,99.85534068705206,4.779271252429281,,10.61,10.65,0.0,11.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,11.136198334412166,38.4256081175906,38.42678263679089,No_database_info,1.4299999999999995,U1368,U1368,No_database_info
329-U1368F-2R-2-W 134/138,,,,,,,,,,,,,,,,,,47.17,1.82,16.35,,5.333096610953432,,3.660213050141911,,,0.13,7.89,10.2622332859175,,3.09,0.56,0.32175,,2.477522477522383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,11.84,60.0,11.82,11.86,A13,P2(F1),9.4,99.4715057634399,4.952381711711712,,11.82,11.86,0.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,10.2615532642188,40.17374514059567,40.17496566032853,No_database_info,2.640000000000001,U1368,U1368,No_database_info
329-U1368F-2R-3-W 110/115,,,,,,,,,,,,,,,,,,47.53,1.73,17.08,,5.341834542664211,,3.30134891160221,,,0.12,6.88,10.91315789473684,,3.16,0.65,0.3135,,2.099160335865556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,13.065,61.0,13.04,13.09,A14,P3(F1),9.01,99.48581823060242,4.908734947794588,,13.04,13.09,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.912495309491954,39.883894596371135,39.88501662306296,No_database_info,3.865,U1368,U1368,No_database_info
329-U1368F-2R-4-W 61/64,,,,,,,,,,,,,,,,,,45.79,1.48,13.87,,4.646341706114399,,4.764292464497041,,,0.15,14.71,7.933143669985776,,2.41,0.52,0.268125,,2.817745803357315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,13.885,62.0,13.87,13.9,A1,P4(F2),9.94,99.88901447334308,5.237096756985605,,13.87,13.9,0.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,7.93257698523686,42.25885743114396,42.26018408051663,No_database_info,4.6850000000000005,U1368,U1368,No_database_info
329-U1368F-2R-4-W 86/90,,,,,,,,,,,,,,,,,,45.573,1.48,13.675,,2.740504802597131,,6.605545677662582,,,0.16,15.36,7.780583214793742,,2.31,0.42,0.268125,,2.758896441423571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,14.14,63.0,14.12,14.16,F1,,10.08,99.8656046562173,5.48437395010395,,,,,,,,,,,,,7.780016530044826,42.63260225300098,42.63397172697176,No_database_info,4.940000000000001,U1368,U1368,No_database_info
329-U1368F-3R-1-W 19/21,,,,,,,,,,,,,,,,,,50.19,2.46,13.59,,6.622658245728588,,6.090607578844272,,,0.21,5.45,10.61820768136558,,2.97,0.34,0.235125,,0.5198960207958724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,21.0,64.0,20.99,21.01,F2,,13.39,99.97322870216144,7.155821285840969,,20.99,21.01,0.0,9.0,0.0,6.5,2.5,0.0,0.0,0.0,0.0,10.617710742431916,35.622614605688035,35.623458304416936,No_database_info,11.8,U1368,U1368,No_database_info
329-U1368F-3R-1-W 21/23,,,,,,,,,,,,,,,,,,49.15,2.41,13.32,,8.599064426825239,,5.841842015857285,,,0.2,5.1,10.05881934566145,,2.95,0.48,0.231,,0.8791208791207823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,21.020000000000003,65.0,21.01,21.03,A2,P5(F3),15.09,99.86894022478222,7.83299134595163,,,,,,,,,,,,,10.058331124954693,36.018034633116,36.01889921150323,No_database_info,11.820000000000004,U1368,U1368,No_database_info
329-U1368F-4R-1-W 23/27,,,,,,,,,,,,,,,,,,49.508,2.42,12.69,,4.260352202212806,,10.16005301800848,,,0.23,5.783,10.50165149359886,,2.726,0.217,0.2256375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,28.55,66.0,28.53,28.57,,,15.5493,99.677192907396,7.258962421114717,,28.53,28.57,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.501174606587082,34.76381906108204,34.76464483489666,No_database_info,19.35,U1368,U1368,No_database_info
329-U1368F-4R-1-W 66/68,,,,,,,,,,,,,,,,,,49.012,2.43,13.678,,6.791817523193098,,6.568364229126211,,,0.23,5.53,10.86230440967283,,2.96,0.35,0.251625,,0.4797121726963294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,28.97,67.0,28.96,28.98,,,14.09,99.87364158236916,6.933135022983703,,28.96,28.98,3.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.86177259783154,35.36549818728534,35.36638238172483,No_database_info,19.77,U1368,U1368,No_database_info
329-U1368F-4R-1-W 129/131,,,,,,,,,,,,,,,,,,47.985,2.39,13.06,,9.39507920359666,,6.088428716763007,,,0.23,5.12,10.15035561877667,,2.86,0.41,0.231,,0.8200000000000429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,29.6,68.0,29.59,29.61,A3,P6(F4),16.16,99.41635561877672,8.3732454844735,,29.59,29.61,0.0,8.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,10.149867398069912,35.620692985416945,35.62155542805382,No_database_info,20.4,U1368,U1368,No_database_info
329-U1368F-4R-1-W 131/133,,,,,,,,,,,,,,,,,,49.43,2.45,13.41,,7.748658511904762,,5.968207339285715,,,0.2,5.34,10.36394025604552,,2.99,0.43,0.231,,0.7593924860111961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,29.62,69.0,29.61,29.63,F3,,14.38,99.98433274205672,7.712962556634305,,29.61,29.63,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,10.363452035338762,35.628952857188274,35.62979317918954,No_database_info,20.42,U1368,U1368,No_database_info
329-U1368F-4R-2-W 14/16,,,,,,,,,,,,,,,,,,51.12,2.45,13.48,,4.72957108999179,,7.272386019007389,,,0.22,5.56,10.47581792318635,,2.99,0.38,0.235125,,0.2798321007396142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,29.905,70.0,29.895,29.915,,,12.81,100.0007750239259,6.742017578514822,,29.895,29.915,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.475320984252686,35.607468706905344,35.6083185674293,No_database_info,20.705,U1368,U1368,No_database_info
329-U1368F-5R-1-W 30/34,,,,,,,,,,,,,,,,,,50.58,2.52,13.7,,4.870440799680585,,8.162603280287474,,,0.2,5.39,10.2825746799431,,3.16,0.15,0.243375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,38.120000000000005,71.0,38.1,38.14,,,13.94,100.0460456032044,7.182836142460684,,38.1,38.14,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.282060304555625,36.28505918962705,36.28595799984129,No_database_info,28.920000000000005,U1368,U1368,No_database_info
329-U1368F-5R-2-W 64/69,,,,,,,,,,,,,,,,,,49.64,2.42,13.04,,4.563353399443283,,9.482981940501045,,,0.2,5.86,10.02830725462304,,3.0,0.12,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,39.72,72.0,39.695,39.745,,,15.1,99.63930725462303,7.700440424597364,,39.695,39.745,0.0,4.0,0.0,3.8,0.2,0.0,0.0,0.0,0.0,10.027819033916282,35.88471223803229,35.88558885547101,No_database_info,30.52,U1368,U1368,No_database_info
329-U1368F-5R-3-W 9/14,,,,,,,,,,,,,,,,,,49.68,2.38,13.06,,4.582826415770608,,9.474456225806453,,,0.2,5.95,10.15035561877667,,2.97,0.12,0.226875,,0.0400000000000844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,40.24,73.0,40.215,40.265,F4,,15.11,99.88723061877678,7.76006842243646,,40.215,40.265,0.0,5.0,0.0,4.6,0.4,0.0,0.0,0.0,0.0,10.149876116296818,35.750311208662424,35.75116442596893,No_database_info,31.040000000000003,U1368,U1368,No_database_info
329-U1368F-5R-3-W 93/97,,,,,,,,,,,,,,,,,,49.78,2.43,13.14,,4.446092825332887,,9.444516457200402,,,0.2,5.97,10.06899004267425,,2.99,0.12,0.231,,1.774227766080953e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,41.075,74.0,41.055,41.095,A4,P7(F5),14.94,99.86999004267442,7.751892909507447,,41.055,41.095,0.0,5.0,0.0,4.6,0.4,0.0,0.0,0.0,0.0,10.06850182196749,36.003834113848455,36.00470984511243,No_database_info,31.875000000000004,U1368,U1368,No_database_info
329-U1368F-6R-1-W 83/87,,,,,,,,,,,,,,,,,,50.82,2.36,14.5,,4.054052507602338,,5.522352743157895,,,0.18,6.0,11.35049786628734,,2.9,0.38,0.251625,,0.6399999999999295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,44.75,75.0,44.73,44.77,,,10.19,99.57212286628727,5.579304044484792,,44.73,44.77,0.1,2.0,0.0,1.9,0.1,0.0,0.0,0.0,0.0,11.34996605444605,35.962735402424755,35.96359787999348,No_database_info,35.55,U1368,U1368,No_database_info
329-U1368F-6R-1-W 119/123,,,,,,,,,,,,,,,,,,49.242,2.27,13.783,,7.252054262187087,,5.34415116403162,,,0.19,5.84,10.97418207681365,,2.71,0.56,0.235125,,0.8996401439422796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,45.11,76.0,45.09,45.13,,,13.19,99.89394722075592,7.063435729705419,,45.09,45.13,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,10.973685137879986,35.52268375930548,35.52351098283174,No_database_info,35.91,U1368,U1368,No_database_info
329-U1368F-7R-1-W 48/50,,,,,,,,,,,,,,,,,,49.96,2.21,13.46,,3.747120510018217,,8.633591540983605,,,0.21,6.55,10.76059743954481,,2.51,0.19,0.243375,,1.775291664401609e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,47.89,77.0,47.88,47.9,,,13.34,99.43397243954496,6.967374278074867,,47.88,47.9,0.1,4.0,0.0,3.9,0.1,0.0,0.0,0.0,0.0,10.760083064157334,36.0281029582369,36.029004883889534,No_database_info,38.69,U1368,U1368,No_database_info
329-U1368F-7R-1-W 90/92,,,,,,,,,,,,,,,,,,49.21,2.24,13.75,,4.056525731518374,,8.544126841633465,,,0.21,6.68,11.00469416785206,,2.56,0.18,0.25575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,48.31,78.0,48.3,48.32,,,13.55,99.64044416785208,7.060229814528594,,48.3,48.32,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.004153637783864,36.02780106117877,36.028728842900726,No_database_info,39.11,U1368,U1368,No_database_info
329-U1368F-7R-2-W 8/13,,,,,,,,,,,,,,,,,,51.2,2.43,15.15,,2.522471372297153,,5.190775764932562,,,0.18,6.3,11.93022759601707,,3.02,0.18,0.25575,,0.6797281087565114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,48.945,79.0,48.92,48.97,F11,,8.29,99.6157057047736,4.672438315098469,,48.92,48.97,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,11.929687065948874,36.0675534649797,36.06839736833162,No_database_info,39.745000000000005,U1368,U1368,No_database_info
329-U1368F-7R-2-W 46/48,,,,,,,,,,,,,,,,,,49.646,2.2,13.327,,4.975594721634952,,8.157964750528542,,,0.21,6.28,10.56735419630157,,2.57,0.28,0.2475,,0.0600000000000378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,49.31,80.0,49.3,49.32,A11,P8(F6),14.04,99.42785419630158,7.327804591194968,,49.3,49.32,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.566831102687187,35.949460732981194,35.950383059891955,No_database_info,40.11,U1368,U1368,No_database_info
329-U1368F-7R-2-W 93/95,,,,,,,,,,,,,,,,,,48.11,2.21,13.8,,8.219661450681452,,5.769304694386694,,,0.23,5.62,10.94366998577525,,2.59,0.59,0.259875,,0.7389654483723305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,49.78,81.0,49.77,49.79,,,14.63,99.72251043414758,7.875662089423905,,,,,,,,,,,,,10.943120737480148,35.75394033049885,35.75486543468729,No_database_info,40.58,U1368,U1368,No_database_info
329-U1368F-7R-2-W 113/115,,,,,,,,,,,,,,,,,,50.63,2.31,14.08,,5.206369912922327,,6.159267078369906,,,0.2,6.22,11.20810810810811,,2.78,0.37,0.259875,,0.2598960415834712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,49.98,82.0,49.97,49.99,,,12.05,100.3678791496916,6.521923300334378,,49.97,49.99,0.1,1.3,0.0,1.1,0.2,0.0,0.0,0.0,0.0,11.207558859813007,35.706689088351524,35.7075934001202,No_database_info,40.78,U1368,U1368,No_database_info
329-U1368F-7R-3-W 16/20,,,,,,,,,,,,,,,,,,49.541,2.29,14.314,,5.298531770476842,,5.719021406570842,,,0.2,5.99,11.31998577524893,,2.76,0.33,0.27225,,0.6998600279943684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,50.52,83.0,50.5,50.54,,,11.653,99.3700958032433,6.356695740464521,,50.5,50.54,0.1,9.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,11.31941037227311,35.970602041419376,35.97154775555245,No_database_info,41.31999999999999,U1368,U1368,No_database_info
329-U1368F-8R-1-W 31/36,,,,,,,,,,,,,,,,,,50.73,2.35,14.34,,4.623482586027112,,5.7028656725756,,,0.19,6.05,11.26913229018492,,2.9,0.28,0.25575,,0.5794205794204713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,57.335,85.0,57.31,57.36,,,10.96,99.9043028696054,5.744420366492147,,57.31,57.36,0.0,5.0,0.0,4.8,0.2,0.0,0.0,0.0,0.0,11.268591760116724,35.936844225131786,35.93772934733307,No_database_info,48.135000000000005,U1368,U1368,No_database_info
329-U1368F-8R-1-W 129/134,,,,,,,,,,,,,,,,,,49.47,2.32,14.26,,6.735363544817007,,4.864172809664694,,,0.19,5.71,11.1877667140825,,2.81,0.51,0.251625,,1.219756048790241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,58.315,86.0,58.29,58.34,,,12.14,100.0691477628727,6.424008372093025,,58.29,58.34,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,11.18723490224121,35.850504768937,35.85137629733352,No_database_info,49.115,U1368,U1368,No_database_info
329-U1368F-8R-1-W 143/148,,,,,,,,,,,,,,,,,,50.59,2.31,14.08,,4.352852283757111,,6.180432944618601,,,0.19,6.05,11.29964438122333,,2.81,0.31,0.251625,,0.5992808629644653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,58.455,87.0,58.43,58.48,,,11.22,99.7105502441878,6.235685902221054,,58.43,58.48,0.4,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.29911256938204,35.5706205583169,35.571489500335154,No_database_info,49.255,U1368,U1368,No_database_info
329-U1368F-8R-2-W 121/124,,,,,,,,,,,,,,,,,,49.43,2.23,13.43,,5.460256475800952,,7.766769171779142,,,0.22,6.27,10.63854907539118,,2.61,0.3,0.251625,,0.2797202797203376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,58.725,88.0,58.71,58.74,,,14.09,99.74989435511152,7.07386180246136,,58.71,58.74,0.3,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.63801726354989,35.917364236566065,35.91829308338124,No_database_info,49.525000000000006,U1368,U1368,No_database_info
329-U1368F-9R-1-W 29/33,,,,,,,,,,,,,,,,,,48.57,2.16,13.65,,7.942700044314742,,5.487569960116732,,,0.18,5.77,10.81145092460882,,2.74,0.55,0.231,,0.799520287827393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,62.91,89.0,62.89,62.93,,,14.04,99.50197121243622,7.353929048795552,,62.89,62.93,0.1,10.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,10.810962703902062,35.53742623019878,35.538247540897565,No_database_info,53.71,U1368,U1368,No_database_info
329-U1368F-9R-1-W 95/99,,,,,,,,,,,,,,,,,,48.98,2.22,13.5,,6.650336473478504,,6.758697173869346,,,0.2,6.05,10.7300853485064,,2.77,0.36,0.2475,,0.3195526263231124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,63.57,90.0,63.55,63.59,,,14.16,99.5371379748295,7.393284291547571,,63.55,63.59,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.729562254892016,35.567526049041184,35.56841731189485,No_database_info,54.370000000000005,U1368,U1368,No_database_info
329-U1368F-10R-1-W 0/3,,,,,,,,,,,,,,,,,,47.87,2.31,13.87,,8.028404964586102,,6.274435531872508,,,0.23,5.5,10.82162162162162,,2.91,0.42,0.2805,,0.4398240703718916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,66.615,91.0,66.6,66.63,A5,P9(F7),15.0,99.65194569199352,8.352165120469731,,66.6,66.63,0.1,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.821028782191986,35.75879910314523,35.75979286082231,No_database_info,57.41499999999999,U1368,U1368,No_database_info
329-U1368F-10R-1-W 3/5,,,,,,,,,,,,,,,,,,48.23,2.38,13.3,,5.30284999565548,,8.187435003910068,,,0.22,6.5,10.62837837837838,,2.52,0.37,0.251625,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,66.64,92.0,66.63,66.65,F5,,14.4,99.6400033783784,7.31596889712624,,66.63,66.65,0.1,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.627846566537093,35.780964369052235,35.781895184752535,No_database_info,57.44,U1368,U1368,No_database_info
329-U1368F-10R-1-W 112/116,,,,,,,,,,,,,,,,,,49.81,2.28,13.88,,3.577327176108914,,8.246405541501977,,,0.2,6.25,11.13691322901849,,2.79,0.17,0.2475,,0.1599680063987027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,67.74000000000001,93.0,67.72,67.76,,,12.74,99.6643812354172,6.704674477338703,,67.72,67.76,0.1,4.5,0.2,4.3,0.0,0.0,0.0,0.0,0.0,11.136390135404106,35.678559377538626,35.67943166001449,No_database_info,58.540000000000006,U1368,U1368,No_database_info
329-U1368F-10R-2-W 57/62,,,,,,,,,,,,,,,,,,51.578,2.46,14.451,,3.124637337800113,,6.025826395979899,,,0.19,6.15,11.35049786628734,,2.96,0.33,0.27225,,0.2998201079352502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,68.66,94.0,68.635,68.685,,,9.82,99.86156797422258,5.425890271011201,,68.635,68.685,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,11.349922463311518,35.845130622668584,35.84606084714955,No_database_info,59.46,U1368,U1368,No_database_info
329-U1368F-11R-1-W 10/14,,,,,,,,,,,,,,,,,,50.08,2.42,14.13,,6.278756426185706,,5.419119216432866,,,0.18,5.51,10.95384068278805,,2.82,0.41,0.268125,,0.6397441023591635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,76.32,95.0,76.3,76.34,,,12.3,99.7117097851472,6.505433855421686,,,,,,,,,,,,,10.953273998039135,36.111161391245,36.112112293042856,No_database_info,67.11999999999999,U1368,U1368,No_database_info
