,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
ODP0129-0801B-043R-001/132-135,34.13327997907356,27.23837577695334,5.4014613889695156,5.104651495496057,22.23710376537411,-1.5113519142062124,,,12.269100447591144,-2.9256748837997684,-2.1411665194102163,,,-2.5240309185678207,-1.4790211060313885,-1.428306326217713,-1.9933533066610636,4.290558347014807,0.16879099969268907,0.10686332601514364,-1.7752426781286204
ODP0129-0801B-038R-001/022-025,105.66357104635688,47.56502928275435,-0.17025051533369862,30.689621768118222,13.74072365435417,78.84526134987163,,,-0.890746181472478,-12.136790430797316,-2.7955628459597506,,,-1.853916557597839,-1.2920010682580791,-1.4871068766523385,2.897914492372827,-1.9506904444894309,-0.7417464858797089,-0.016532151186003596,-8.766094610983414
ODP0129-0801B-040R-001/015-018,146.6937540091811,19.491682544203535,0.24332201998944214,4.504329977601465,8.382051931945924,75.8652609726428,,,60.898073348238896,-11.516525883580695,-2.7226180570272476,,,2.518793977141206,0.3299199426738273,0.14321865014157886,7.254395500532873,-5.988690141104263,0.3408574715975523,0.16811967875564066,-8.355468787080454
ODP0129-0801B-041R-001/020-025,57.180633430453646,8.313697028743768,6.506242879800688,-12.96935102592795,1.143293480497789,6.2074375493089775,,,94.73329141641281,-10.642319019946985,-3.9625864935744914,,,1.3206567680689636,0.8514129321437354,1.3960145787676463,-0.15357413645224938,-1.9984785469711195,0.7600442641700131,0.04388437392999878,-2.508391046049412
ODP0129-0801B-041R-001/026-031,28.71320156785101,26.658555802370756,-0.28063723308395794,29.469595258034744,13.247040282196764,0.43193037203643314,,,20.151635181729624,-1.7113155199004382,-3.9386883290901302,,,-0.11082012873399627,-0.2726043640450353,-0.32279122757356227,-2.0586740039392595,-1.211976619383405,0.8781342998388726,0.07906580329230839,-1.4574665701934428
ODP0129-0801B-041R-001/130-136,40.86751478225631,8.696943270915376,4.123939590011041,-5.104461750094963,3.933842951893169,-0.5093036535473416,,,109.86821420475346,-7.251623535151992,-3.1179496554758863,,,0.45231119892647076,0.917111203520693,1.8653606259708582,-1.172104041479237,-1.732951136136859,0.6090962679221978,0.020973569833458106,-2.029258073100979
ODP0129-0801B-042R-002/000-007,32.116676094333044,13.086766202858925,-1.1255703176754395,0.9306845717724315,-0.13235108059924272,-8.486491330333621,,,80.80298992774438,-2.5189588181411935,-2.009217101031915,,,0.5270961820667841,0.7007545246100975,1.1490684916142322,-0.5909634752764035,0.714590439059628,0.4329524172582566,-0.08317366889801514,-1.2679533694752543
ODP0129-0801B-042R-002/129-134,32.82007573803956,20.243038419577022,0.15807421050337922,3.8178640010559093,5.6601726015569085,0.129140578571441,,,79.08925973779962,4.307037191360067,-6.163974628729129,,,0.13797471614800205,0.09838543361157814,-0.19759228371152027,-1.4759097032640298,0.001517203498597297,0.3828121487971514,0.09194337276270431,-2.024161982677729
ODP0129-0801B-043R-001/022-027,35.26628268586184,40.8457044189523,2.2412551732362402,11.343754219230625,8.765708249398422,1.8208492472342215,,,38.74495970075792,-5.1477449351588795,-4.386558290230635,,,0.09541878657162339,-0.16120542346900013,-0.40008409537734657,-1.9991093105410442,0.9007166947670466,1.136941638948206,0.07385270508320457,-3.835567885135135
ODP0129-0801B-043R-001/128-134,19.08345840441567,14.04697075484809,-1.8856145404821554,-5.421897938766357,1.3410660860404278,-11.74108219606406,,,-3.7380065191967837,-5.778371994457682,-1.2666328352098972,,,-0.0069048429733236105,0.05269302606320991,0.6797770475680869,-3.7818411761336463,3.3716147516220154,-0.13970417377475153,0.01516734418013893,-3.480060292632615
