,Sample ID,Top Depth (m),Bottom Depth (m),Depth,Sample Pair,Sample Pair ID,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,TOTAL,FeO,Fe2O3,Cr,V,Li,Be,Sc,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Cd,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Pb,Th,U,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%)
0,329-U1365E-2R-1-W 36/40,71.36,71.4,71.38,A1,P1(F1),50.39,1.48,15.82,7.99,0.17,7.33,12.337055476529162,2.92,0.22,0.136125,1.2782105052924495,100.07139098182161,3.211274902439025,4.42191677506775,349.59,274.82,30.533427479712497,0.27925488748703403,47.79084054931336,47.187832723521325,45.63914656498763,76.23415605462276,78.8251665724667,16.533603874622596,4.50188994941297,4.147738379867085,158.86,25.366900712597708,79.88,2.1969953421125332,0.14472386357048536,0.9668163799680078,0.2937022404952187,14.280099401645474,3.4472937243456974,10.864113162155327,1.838863324539724,11.096406567190769,3.3538836030230708,1.30138201809325,4.378970714820226,0.7825607661134697,5.106800869255811,1.0631223064727426,3.0967020917628836,0.477332374595455,3.144102855575869,0.46849531944416645,2.7686715683771586,0.9662615715379632,0.07634195563213436,0.0495507306645939,,71.36,71.4,0.1,3.1,0.1,2.9,0.2,0.1,0.0,0.0,0.0
1,329-U1365E-2R-1-W 65/69,71.65,71.69,71.67,F1,,49.5,1.45,15.32,10.22,0.14,7.43,12.316714082503555,2.73,0.07,0.14025,0.6997201119551852,100.01668419445873,6.089340595015576,3.454066005538249,354.31,276.87,6.607902734653551,0.3511721128995468,45.740271673331144,44.42741154034872,50.250517308224865,70.27557841571999,72.3175107056496,16.51644085094699,5.648500548716879,0.5522237155125611,149.43,25.50444295403313,77.8,2.026650544918999,0.1791535718928535,0.7700727536231884,0.018324240621902237,3.648974373893245,3.2900031594744874,10.910435757575756,1.8151173665480427,10.995999,3.3295407014148646,1.266675579000251,4.2983951519609,0.7806801369976295,5.044083629733897,1.0620319122016693,3.0783557193479796,0.4839332000787875,3.1150161140889763,0.4587512468085106,2.657124381780098,0.31608511612692175,0.10389999999999999,0.062055467083181035,,71.65,71.69,0.1,3.4,0.0,3.2,0.1,0.1,0.1,0.0,0.0
2,329-U1365E-3R-1-W 130/134,82.1,82.14,82.12, ,,49.25,1.41,14.91,10.61,0.16,7.95,12.092958748221907,2.7,0.1,0.136125,0.7593924860111961,100.0784762342331,6.482255123443983,3.4074943072844626,335.64,270.85,5.491467073170732,0.3431228483751281,45.067068236097704,43.87428627377092,50.97973075036375,69.37853818293432,82.3676237079393,16.025724446569303,5.701005482672119,1.0820952992190003,144.52,24.839656210268945,73.93,1.9632001312744563,0.23218397024034013,0.9157718413433701,0.0483493517457009,14.632139033382154,3.3516319165272175,10.53065527692585,1.7855990863536713,10.732360767475035,3.230944876645539,1.235762761686263,4.181021414484549,0.7578504305394831,4.909380888241863,1.0296071285846438,2.98191850141643,0.46911518195569746,3.0242613838782604,0.448870501215835,2.5745802526460606,0.5902890378954253,0.10279999999999997,0.0630524834244504,,82.1,82.14,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3,329-U1365E-3R-2-W 20/22,82.39,82.41,82.4,F2,,49.73,1.42,15.33,9.5,0.14,7.29,12.306543385490754,2.79,0.13,0.136125,0.8598280343930712,99.63249641988385,4.881025685242518,4.076638127508313,335.96,280.32,7.73781063934639,0.32722621277275044,45.185349811320755,55.19990670786221,65.02913576480378,67.17071319423135,75.29316633663366,16.221897336781563,5.141660308376196,0.9927694805194807,149.76,24.914249784327122,76.36,1.9563525482771675,0.7723791423564581,0.9432262232504338,0.04776197990943633,5.715876135504361,3.1793967168808157,10.553807762540599,1.7512953497907233,10.638893871794872,3.2297742389150566,1.241228683974933,4.201614528224951,0.7627615216193887,4.9724648390171575,1.037824308454415,3.019344203821656,0.4736301659038664,3.0499114141932004,0.4556729294798531,2.604993629597198,0.8742253562584683,0.1001,0.0610680148231853,,82.39,82.41,0.1,9.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0
4,329-U1365E-3R-2-W 22/24,82.41,82.43,82.42,A2,P2(F2),49.48,1.46,15.07,10.25,0.14,7.08,12.143812233285916,2.81,0.33,0.14025,1.179292424545365,100.08335465783126,3.6012169754170325,6.248647805092187,318.76,283.98,23.73619429684782,0.35838009644300484,45.613003868954756,40.65341368223592,44.83711550050217,68.55425197241274,114.66863050847458,16.3635992952735,5.720585849476023,5.981990781847023,153.04,25.718297586128433,76.94,2.1592297443927597,0.1577429157321371,1.055398781163435,0.3778773723981271,8.946704675956232,3.3771935152828143,10.594598360323886,1.8199950029878122,10.888045193785034,3.3773454717358686,1.2674931627056671,4.196404511166966,0.7624894213868311,5.008472259203433,1.0481563352359886,3.065570389452743,0.46588610087020466,3.125192401169164,0.46299419948685056,2.674014971274655,0.9310576843961211,0.07280018493828225,0.047965145152929,,82.41,82.43,0.1,3.4,0.0,3.4,0.0,0.1,0.0,0.0,0.0
5,329-U1365E-3R-2-W 52/56,82.71,82.75,82.72999999999999,,,48.83,1.2,17.45,8.78,0.12,6.68,12.042105263157895,2.65,0.47,0.103125,1.838896662002951,100.16412692516086,2.7795460788824977,5.691615467908335,286.01,224.13,32.4896176498979,0.2665654630564673,38.5148851154086,34.5989399097361,66.75761597748141,55.077733644505514,58.06426793061718,15.338408067248814,5.0633924061711895,8.372692010771992,145.5,21.358071845775225,63.57,1.4321557048092868,0.12748778043415893,0.6380086696230599,0.30154547569202134,16.761968942937326,2.3985753435114505,7.841733006833715,1.352423284744631,8.280359124570337,2.670367327280703,1.050859822268688,3.3787107618026044,0.6212711547535665,4.148076965806356,0.8782295716402324,2.564294424967068,0.3991984162942712,2.629967102592187,0.3911190317460318,2.137188777897307,0.41007346507945824,0.037851088590200505,0.124716093608194,,82.71,82.75,0.6,14.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0
6,329-U1365E-3R-3-W 33/37,83.54,83.58,83.56,,,46.35,1.1,17.19,8.84,0.13,10.78,10.201209103840682,2.2,0.08,0.09487500000000001,3.2361166600080775,100.20220076384877,5.310060567735262,2.9399327025163746,299.41,213.61,35.21947537686576,0.26708068878005814,37.27797192391644,38.502608087520265,72.46145877775541,49.05987740865048,52.45716693548386,14.721844922699125,5.1554941497309335,1.5637221562976775,121.22,20.053730182100317,60.15,1.3263458802930468,0.14469744450082456,0.5313135712084798,0.0488005042252206,7.724338953869187,2.260673611333742,7.204528987341771,1.2646105625548147,7.689214429369327,2.4775465399591776,0.9601582108291917,3.125500653549119,0.5818654691234968,3.870298328622837,0.8210221789484967,2.396492642690395,0.3735933397470752,2.460534179496534,0.3774224354935916,1.9688810200625992,0.4287524047744427,0.028448702997041525,0.023778495460441,,83.54,83.58,1.2,7.0,1.5,4.0,2.0,0.0,0.0,2.0,0.0
7,329-U1365E-3R-3-W 112/116,84.33,84.37,84.35,,,47.989,1.12,17.32,8.81,0.13,7.93,11.899715504978662,2.53,0.07,0.09487500000000001,1.6400000000000858,99.53359050497875,5.043008154958677,3.20665760560147,291.41,232.05,8.425738785776238,0.25214662943949084,37.39195139786978,40.06306211010783,73.13063271112345,52.295706134969336,54.897031344926255,15.230953657854451,4.997893792733548,0.9099077425533482,157.96,20.271278175090078,58.42,1.2527752925834,0.17687306863183994,0.5194647371461584,0.036442515075899365,5.296412272933125,2.2138170750443176,7.345939723876556,1.2911351467866397,7.994693594594595,2.5143381102093816,0.9796539429062029,3.309765694423512,0.6121906009469802,3.9997898121446402,0.8429050830895263,2.4532235360678922,0.38984601355686643,2.524729296807041,0.37526448387724326,2.008435069829999,0.505173323989722,0.06189999999999998,0.042565240722583206,,84.33,84.37,0.7,4.5,0.6,2.6,0.7,0.2,0.3,0.0,0.0
8,329-U1365E-3R-4-W 66/68,85.06,85.08,85.07,F3,,48.863,1.17,18.211,8.42,0.12,6.72,12.581152204836414,2.5,0.07,0.09899999999999999,0.9388733519775677,99.69302555681398,4.793503543455497,3.093884951716115,286.85,226.14,6.3019841336407545,0.2698195814303639,37.52364267322518,39.849650447172294,70.49493333333335,60.16287939282429,60.35768240475665,15.937513340862424,4.813704156132439,0.9372945820053937,147.63,21.21411851326402,60.23,1.3545705312749758,0.14322625711820536,0.6534227813040969,0.0343575211589387,4.673622497363001,2.4159177860414722,7.955480577617328,1.382267718199163,8.429255250000002,2.6467424501216548,1.0537568395097021,3.4653571752899937,0.6385916815255077,4.1793386890179445,0.882395302909992,2.5824613427561833,0.40542243900874997,2.640314318166499,0.3907777810121349,2.090954465821992,0.455861386462372,0.07399999999999998,0.0458725776965265,,85.06,85.08,0.4,4.0,0.1,2.5,1.5,0.0,0.0,0.0,0.0
9,329-U1365E-3R-4-W 68/70,85.08,85.1,85.09,A3,P3(F3),48.24,1.2,17.18,9.32,0.15,7.09,12.0624466571835,2.57,0.23,0.103125,1.7400000000000304,99.88557165718353,3.184071863232682,5.782142374185909,283.89,232.33,28.42709110770517,0.2825531688447465,38.63488473815461,38.775071069998624,69.65433451957296,57.155311468894936,62.47344933494558,15.70510497634213,5.251263559115597,5.088774480090922,148.82,21.845818171846435,62.32,1.4678707364734076,0.12155843183037264,0.6540892884449377,0.2294442299583001,36.01275672032946,2.536510754716981,8.184390450747024,1.4253633635223628,8.700073154658112,2.7346427613570206,1.08222554973822,3.467259327886785,0.6408547667153447,4.26903908264354,0.8955965125906195,2.68262476836005,0.41995828746730335,2.7247347714181553,0.41225351807010846,2.206023826900344,0.44840966489579076,0.03833905132925211,0.03247796418840017,,,,,,,,,,,,
