SAMPLE ID,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,DataBase,SAMPLE_INFO
ODP0129-0801B-044R-001/018-024,,,,,,53.79882672771498,,,,,,,38.04507042253521,,,63.291139240506325,,8.480325644504749,6.3125,14.107142857142858,,,11.996644295302014,20.06472491909385,,6.829268292682928,,,97.62475673219629,47.80203784570597,,5.405405405405406,,,,,,60.308555399719495,24.32791728212703,,,26.18468667336529,126.7605633802817,,28.550724637681157,,80.31496062992126,,,,,,,,,15.81081081081081,,23.222748815165875,68.53658536585365,,,32.94117647058823,15.029449922033841,,,45.238095238095234,,,7.032967032967033,5.192697768762677,,23.571428571428573,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.87,3.26,16.8,,3.76,,4.16,,,0.31,2.65,9.37,,4.01,2.94,0.57,,7.69,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,60.0,,,214.0,,79.0,,,,,,,1.57,,1.57,,pacific_plate_west_ref,18.0,24.0,21.0,501.88,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-001/107-113,,,,,,62.526827872370866,,,,,,,31.887323943661976,,,65.82278481012658,,,,12.261904761904761,,,,17.05501618122977,,,,,151.7500470292983,39.30131004366812,,3.648648648648649,,,,,,58.906030855539974,18.46381093057607,,,26.18468667336529,14.084507042253522,,,,99.21259842519684,,,,,,,,,13.918918918918918,,11.848341232227487,68.29268292682926,8.148148148148149,,30.823529411764707,15.029449922033841,,,26.19047619047619,,,5.934065934065934,4.0973630831643,,19.107142857142858,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.13,3.26,17.72,,4.32,,3.22,,,0.18,3.05,4.35,,3.12,4.57,0.57,,6.96,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,35.0,,,,,107.0,,,347.0,,87.0,,,,,,,3.34,,3.34,,pacific_plate_west_ref,107.0,113.0,110.0,502.77,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-002/027-032,,,,,,75.97653455429962,,,,,,,37.44788732394366,,,93.67088607594935,,8.331071913161464,6.229166666666667,13.75,,,11.677852348993289,18.77022653721683,,6.585365853658537,,,188.27631655494997,46.34643377001455,,5.405405405405406,,,,,,61.71107994389902,23.929098966026586,,,25.26592573745774,112.67605633802818,,27.826086956521735,,105.51181102362204,,,,,,,,,15.698198198198197,,14.739336492890994,68.29268292682926,,,32.94117647058823,15.075552529156647,,,109.5238095238095,,,6.813186813186814,5.1115618661257605,,22.67857142857143,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.42,3.27,17.7,,3.75,,3.27,,,0.13,3.03,3.56,,3.2,5.67,0.55,,4.38,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,93.0,,,264.0,,69.0,,,,,,,2.06,,2.06,,pacific_plate_west_ref,27.0,32.0,29.5,503.42,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-003/028-033,,,,,,56.66046644727429,,,,,,,34.140845070422536,,,41.77215189873417,,,,13.869047619047619,,,,19.02912621359223,,,,,76.70516600386851,42.0669577874818,,5.135135135135135,,,,,,61.71107994389902,24.37223042836041,,,26.18468667336529,140.84507042253523,,,,72.44094488188976,,,,,,,,,15.968468468468467,,25.023696682464454,68.04878048780488,10.092592592592593,,32.470588235294116,14.56842385080581,,,46.19047619047619,,,7.252747252747253,5.273833671399594,,23.92857142857143,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.65,3.16,17.22,,4.18,,5.04,,,0.14,4.21,7.24,,4.08,2.31,0.57,,3.65,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,36.0,,,,,59.0,,,285.0,,83.0,,,,,,,1.4,,1.4,,pacific_plate_west_ref,28.0,33.0,30.5,504.91,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-001/014-020,,,,,,45.0708255830591,,,,,,,33.36338028169014,,,39.24050632911392,,7.0284938941655355,5.208333333333334,11.845238095238095,,,,15.857605177993529,,5.48780487804878,,,52.132948322975565,42.1688500727802,,4.594594594594595,,,,,,53.295932678821885,20.997045790251107,,,23.42840386564263,14.084507042253522,,24.23913043478261,,55.118110236220474,,,,,,,,,13.648648648648647,,22.037914691943126,56.34146341463415,,,29.41176470588235,12.40160131603406,,,39.52380952380952,,,5.934065934065934,4.219066937119676,,19.732142857142858,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.06,2.69,14.18,,4.49,,6.34,,,0.16,10.14,7.44,,2.58,1.57,0.51,,5.31,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,247.0,,,381.0,,84.0,,,,,,,2.42,,2.42,,pacific_plate_west_ref,14.0,20.0,17.0,493.84,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-001/109-114,,,,,,61.09600801259121,,,,,,,32.3943661971831,,,39.24050632911392,,,,12.20238095238095,,,,17.47572815533981,,,,,58.10997424535493,39.88355167394468,,4.054054054054054,,,,,,57.503506311360454,22.156573116691284,,,27.562828077226627,14.084507042253522,,,,62.99212598425197,,,,,,,,,14.346846846846846,,17.20379146919431,63.90243902439025,8.333333333333334,,30.705882352941174,12.908729994384895,,,46.19047619047619,,,5.934065934065934,4.158215010141988,,21.607142857142858,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.92,2.8,14.72,,3.62,,6.4,,,0.15,9.58,6.46,,3.45,1.75,0.6,,5.3,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,40.0,,,,,197.0,,,263.0,,86.0,,,,,,,3.77,,3.77,,pacific_plate_west_ref,109.0,114.0,111.5,494.79,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-005/033-038,,,,,,135.64172270711117,,,,,,,33.971830985915496,,,37.974683544303794,,,,13.690476190476188,,,,19.12621359223301,,,,,80.6898499521214,42.0669577874818,,4.864864864864865,,,,,,61.71107994389902,22.895125553914326,,,26.18468667336529,70.42253521126761,,,,74.01574803149606,,,,,,,,,15.81081081081081,,22.274881516587676,69.7560975609756,9.537037037037038,,31.64705882352941,14.476218636560205,,,50.476190476190474,,,7.032967032967033,5.0912778904665315,,23.839285714285715,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.13,3.14,16.57,,3.96,,5.79,,,0.16,5.08,6.59,,4.63,2.43,0.57,,4.36,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,36.0,,,,,57.0,,,312.0,,76.0,,,,,,,2.9,,2.9,,pacific_plate_west_ref,33.0,38.0,35.5,498.88,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-001/112-118,,,,,,56.66046644727429,,,,,,,36.40563380281691,,,55.69620253164557,,8.42605156037992,6.229166666666667,13.809523809523808,,,11.577181208053693,18.446601941747574,,6.646341463414634,,,71.06019707717688,45.356622998544395,,5.675675675675675,,,,,,58.906030855539974,23.397341211225996,,,28.022208545180405,42.25352112676057,,27.13768115942029,,69.29133858267717,,,,,,,,,15.608108108108107,,22.606635071090047,60.0,,,28.58823529411765,14.153500386700582,,,38.57142857142857,,,6.813186813186814,5.233265720081136,,23.125,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.53,3.07,16.31,,4.25,,5.32,,,0.16,4.68,7.14,,3.94,2.14,0.61,,6.92,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,40.0,,,,,42.0,,,307.0,,83.0,,,,,,,1.86,,1.86,,pacific_plate_west_ref,112.0,118.0,115.0,504.12,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-003/114-119,,,,,,58.37745027900987,,,,,,,32.67605633802817,,,53.16455696202531,,,,13.154761904761903,,,,18.576051779935277,,,,,81.3539639434969,40.32023289665211,,4.324324324324325,,,,,,57.503506311360454,18.46381093057607,,,27.562828077226627,14.084507042253522,,,,75.59055118110236,,,,,,,,,15.157657657657658,,23.601895734597154,64.39024390243902,8.611111111111112,,29.058823529411764,14.614526457928616,,,54.28571428571428,,,6.593406593406594,4.563894523326572,,22.767857142857146,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.25,3.17,16.77,,3.73,,5.27,,,0.19,4.9,6.34,,3.98,2.45,0.6,,7.39,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,42.0,,,,,114.0,,,279.0,,78.0,,,,,,,2.13,,2.13,,pacific_plate_west_ref,114.0,119.0,116.5,506.98,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-004/071-076,,,,,,55.3727285734726,,,,,,,36.47887323943662,,,50.63291139240506,,8.358208955223882,6.25,13.63095238095238,,,11.543624161073826,18.446601941747574,,6.646341463414634,,,77.369279995244,45.327510917030565,,5.54054054054054,,,,,,57.503506311360454,23.197932053175773,,,24.80654526950396,28.169014084507044,,26.992753623188403,,72.44094488188976,,,,,,,,,15.427927927927927,,23.459715639810426,59.75609756097561,,,28.941176470588232,14.522321243683008,,,40.476190476190474,,,7.032967032967033,5.192697768762677,,22.946428571428573,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.95,3.15,16.4,,3.66,,6.19,,,0.15,5.28,7.13,,3.86,2.33,0.54,,5.82,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,46.0,,,246.0,,87.0,,,,,,,1.36,,1.36,,pacific_plate_west_ref,71.0,76.0,73.5,507.81,Northwest_Pacific,Seafloor altered basalt
