SAMPLE ID,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801B-043R-001/132-135,16.062869881493757,269.213379478818,0.8700911997645099,6642.598112242214,26.155656941263224,59.92281246000594,1.6259644321809807,512.8933261741023,33.5221321263686,31.80624159186276,2.2658758797828744,0.34250485494015176,47.192367234443346,6.424082830056298,2.999239096977981,0.4877494880339423,10.084927592790706,235.0,2.4,14503.880200833886,40.7
ODP0129-0801B-038R-001/022-025,11.73722050486604,201.54899916150282,0.6243402355994379,5522.094227393083,22.709834541568053,53.03260252523353,1.5324710714241052,436.5774082696969,29.956936794401475,27.69019873763003,1.9989110257642702,0.28942016667290754,47.00760777824189,5.78845478785033,2.8352157835654634,0.42395860294846965,10.789754165778385,194.0,2.0,16002.21493232499,36.0
ODP0129-0801B-040R-001/015-018,16.664773142777168,289.4114969833474,0.8262363336789597,7198.949348530109,32.312696154848716,65.3813770473296,1.662543452850537,567.7978875744187,31.79525911913534,24.24156811091892,1.8216913939995,0.2507009099763692,44.40142743486221,9.246361496516288,2.5878182258525895,0.3858939155506961,11.57572248759811,153.0,3.1599999999999997,19778.018455682573,49.0
ODP0129-0801B-041R-001/020-025,26.086732877072546,394.9149441936253,1.0304040502981273,11421.905961315812,39.51887715356939,84.99260713767555,2.1767644649889997,757.4033093014892,44.67217322910407,33.7670466239877,2.294403727488639,0.3206221980788402,45.800487548063,8.128564822873466,2.893346520770135,0.6619712273596865,10.077437546025482,308.0,3.6,21336.28657643332,53.0
ODP0129-0801B-041R-001/026-031,20.497778638688192,315.829513079518,0.9946372012779134,10187.239279115764,34.008467082117825,70.79322860208035,1.8272181583689477,603.5869933285443,38.68874335816514,36.923799797447074,2.2796553045496957,0.32639337400736224,46.8516477357221,7.109713034163682,3.078244804101579,0.5517259136352612,9.578817683178894,272.0,3.0199999999999996,19837.951844942218,48.00000000000001
ODP0129-0801B-041R-001/130-136,23.839015198707017,359.62543105110933,1.046373179833681,11129.57639487864,35.7429383812205,75.90227990622914,2.09484103624402,693.4159887326643,39.93912304592066,31.90398020241756,2.1053231155768435,0.3145854034524408,46.33932495812936,7.400963481287717,2.901477498033837,0.6575750416335722,9.38429916152538,285.0,3.5,19418.41812012471,49.0
ODP0129-0801B-042R-002/000-007,17.770946669366783,292.37259512294287,0.9604326926888339,8165.235450819928,32.001353044919775,66.99049467803681,1.7692381228024248,588.9656010678348,37.34821364995503,28.77535083172655,2.0821075871751917,0.31940730259209626,45.50566693514875,6.661829446841938,2.747258389514354,0.5842455601470443,10.583138404626155,243.0,3.0,17320.749496037162,42.0
ODP0129-0801B-042R-002/129-134,17.009530354279462,266.9509040339568,0.8721073150581163,7180.211077496729,28.619770047119967,62.60822567303136,1.6610523192001998,546.6373689887306,35.18751240242235,32.33330091794317,2.1894745922271475,0.29808942615605777,46.94200346774497,5.640957636834396,2.9104043738384138,0.5169609330913338,10.650472685209227,233.0,2.57,17500.549663816095,41.0
ODP0129-0801B-043R-001/022-027,17.704741174923896,264.73132045722656,0.8733432986862012,7781.00884802301,29.20526123686935,62.72335263808992,1.700478048152709,577.8734681200076,36.28488545029882,34.23465768327802,2.183278559014065,0.3238042908909564,46.8634944771646,5.738726908890995,2.9808468674386437,0.5254414261332399,10.208829380703758,244.0,2.56,17620.416442335383,42.0
ODP0129-0801B-043R-001/128-134,15.90145552570043,260.46948731520075,0.7246923362258423,7110.559224161342,24.520314329543396,54.99214745336938,1.7404265585269478,475.6455374271393,30.792401378135697,27.68885446241,2.1469337626259573,0.3065258157872248,46.32354866480032,8.813514052076458,2.7083055431563863,0.4661082823576857,10.544487181106176,208.0,2.54,14863.480536391751,37.0
