SAMPLE ID,DataBase,SAMPLE_INFO
ODP0185-0801C-030R-005/039-042,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-031R-004/043-045,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-031R-007/007-010,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-032R-001/121-127,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-034R-002/036-040,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-035R-003/100-104,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-037R-004/106-110,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-037R-005/112-114,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-038R-001/022-027,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-038R-003/053-059,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-042R-002/034-038,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-043R-001/013-015,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-043R-002/101-104,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-043R-003/050-055,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-046R-002/048-052,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-050M-001/029-032,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-052M-001/047-049,Northwest_Pacific,Seafloor altered basalt
