SAMPLE ID,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,DataBase,SAMPLE_INFO
ODP0185-0801C-028R-002/100-104,,,,,,8.008298755186722,,,,,,,15.53921568627451,,,0.6170212765957447,,21.456692913385826,20.966767371601208,19.999999999999996,,,22.72506082725061,24.390243902439025,,21.20141342756184,,,9.002095617039256,12.658227848101266,10.89171974522293,20.590551181102363,,,,,,11.422764227642277,19.95717344753747,,,0.4900685893785581,0.1506072874493927,,18.105263157894736,,2.241379310344828,,,,,,,,,21.241830065359476,,15.56473829201102,13.642857142857142,22.513368983957218,,4.241379310344827,21.145038457896927,,,152.5,,,22.993630573248407,19.705882352941174,,28.165374677002582,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.17,1.57,13.77,,11.79,,,,,0.182,7.72,13.78,,2.38,0.591,0.137,,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,63.2,,,,,81.3,,,,,68.7,,,,,,,,,,,pacific_plate_west_ref,100.0,104.0,102.0,731.04,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-029R-001/016-018,,,,,,2.800829875518672,,,,,,,26.633986928104576,,,,,36.61417322834646,35.0453172205438,32.93103448275862,,,38.83211678832117,43.52720450281426,,36.39575971731449,,,1.645053006159458,20.421940928270043,7.579617834394904,34.645669291338585,,,,,,17.35772357723577,34.903640256959314,,,0.8728228891121765,0.16275303643724695,,31.47368421052632,,0.15301724137931036,,,,,,,,,37.38562091503268,,16.115702479338843,49.57142857142857,38.50267379679144,,7.827586206896552,32.727670988974225,,,84.0,,,39.745222929936304,33.470588235294116,,43.66925064599483,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.39,2.43,13.55,,14.97,,,,,0.274,6.7,10.98,,2.72,0.108,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,52.6,,,,,58.6,,,,,128.0,,,,,,,,,,,pacific_plate_west_ref,16.0,18.0,17.0,738.06,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-030R-001/003-007,,,,,,3.3070539419087135,,,,,,,24.885620915032682,,,1.904255319148936,,33.1496062992126,30.15105740181269,30.689655172413794,,,36.83698296836983,41.18198874296435,,31.80212014134276,,,5.590133826486307,19.40928270042194,8.40764331210191,26.92913385826772,,,,,,16.7479674796748,32.890792291220556,,,0.9300571769228109,0.19554655870445342,,29.57894736842105,,5.948275862068966,,,,,,,,,35.55555555555556,,16.666666666666668,21.428571428571427,35.56149732620321,,7.793103448275862,32.727670988974225,,,29.25,,,38.08917197452229,26.41176470588235,,41.860465116279066,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.22,2.43,13.77,,16.61,,,,,0.163,7.11,9.18,,2.8,0.367,0.26,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,37.9,,,,,41.1,,,,,124.0,,,,,,,,,,,pacific_plate_west_ref,3.0,7.0,5.0,747.33,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-030R-001/111-114,,,,,,4.149377593360995,,,,,,,24.673202614379086,,,0.1,,33.77952755905512,32.507552870090635,30.344827586206897,,,35.76642335766424,40.24390243902439,,33.56890459363957,,,0.9276271118065833,19.19831223628692,4.7834394904458595,32.047244094488185,,,,,,15.487804878048781,32.11991434689507,,,0.7762400284317307,0.0534412955465587,,28.842105263157897,,0.2435344827586207,,,,,,,,,34.50980392156863,,15.289256198347108,22.214285714285715,35.56149732620321,,7.1724137931034475,30.303399063865022,,,12.874999999999998,,,36.05095541401274,30.882352941176467,,40.0516795865633,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.09,2.25,13.02,,15.37,,,,,0.21,6.27,11.05,,2.6,0.0609,0.217,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,44.0,,,,,57.6,,,,,113.0,,,,,,,,,,,pacific_plate_west_ref,111.0,114.0,112.5,748.41,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-030R-005/039-042,,,,,,2.5103734439834025,,,,,,,17.973856209150327,,,0.5531914893617021,,25.0,25.015105740181266,21.551724137931032,,,25.742092457420927,26.360225140712945,,25.08833922261484,,,2.9550026221753227,14.514767932489452,8.152866242038217,26.574803149606304,,,,,,10.65040650406504,22.48394004282655,,,0.5973828790234978,0.10283400809716599,,20.736842105263158,,2.564655172413793,,,,,,,,,24.183006535947715,,15.426997245179065,13.5,25.695187165775398,,3.8275862068965516,21.68376555236564,,,36.125,,,29.681528662420384,25.235294117647058,,28.940568475452196,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.53,1.61,11.93,,12.69,,,,,0.197,7.14,15.07,,2.57,0.194,0.167,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,21.3,,,,,47.2,,,,,62.3,,,,,,,,,,,pacific_plate_west_ref,39.0,42.0,40.5,752.55,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-031R-004/043-045,,,,,,4.813278008298755,,,,,,,24.673202614379086,,,0.042021276595744686,,34.05511811023622,32.80966767371601,30.517241379310345,,,35.571776155717764,40.43151969981238,,34.09893992932862,,,0.7951089529770714,19.113924050632914,4.840764331210191,33.110236220472444,,,,,,15.894308943089431,32.11991434689507,,,0.7905486003843893,0.9554655870445343,,28.31578947368421,,0.12241379310344827,,,,,,,,,34.50980392156863,,15.013774104683195,20.857142857142854,36.096256684491976,,7.448275862068965,30.303399063865022,,,10.812499999999998,,,37.64331210191083,31.64705882352941,,40.56847545219638,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.66,2.25,12.83,,15.19,,,,,0.23,6.07,11.27,,2.63,0.0522,0.221,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,50.9,,,,,51.5,,,,,117.0,,,,,,,,,,,pacific_plate_west_ref,43.0,45.0,44.0,761.02,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-031R-007/007-010,,,,,,3.6141078838174274,,,,,,,22.54901960784314,,,1.9787234042553192,,30.393700787401574,29.123867069486405,27.06896551724138,,,32.26277372262774,33.208255159474675,,29.858657243816253,,,6.519284135520815,19.70464135021097,8.40764331210191,27.95275590551181,,,,,,13.211382113821138,28.05139186295503,,,0.7583543134909074,0.09757085020242914,,25.789473684210527,,6.724137931034483,,,,,,,,,30.26143790849673,,14.049586776859504,16.5,32.62032085561497,,6.137931034482758,27.609763591521467,,,14.874999999999998,,,36.87898089171974,26.88235294117647,,36.950904392764855,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.12,2.05,11.7,,17.37,,,,,0.161,8.1,9.21,,2.27,0.428,0.212,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,18.4,,,,,44.6,,,,,103.0,,,,,,,,,,,pacific_plate_west_ref,7.0,10.0,8.5,764.81,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-032R-001/121-127,,,,,,2.514522821576763,,,,,,,17.483660130718953,,,2.7180851063829787,,23.77952755905512,21.993957703927492,21.72413793103448,,,26.180048661800488,27.392120075046904,,22.96819787985866,,,27.87450927103526,13.122362869198312,7.579617834394904,21.2992125984252,,,,,,10.813008130081302,23.768736616702352,,,0.6260000229288151,0.11336032388663968,,21.157894736842103,,19.56896551724138,,,,,,,,,25.42483660130719,,11.088154269972453,13.642857142857142,25.240641711229944,,3.5862068965517238,21.414402005131283,,,4.825,,,23.94904458598726,20.52941176470588,,29.198966408268735,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.34,1.59,10.62,,17.51,,,,,0.141,8.94,6.31,,2.29,1.83,0.175,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,24.0,,,,,42.6,,,,,91.8,,,,,,,,,,,pacific_plate_west_ref,121.0,127.0,124.0,767.51,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-034R-002/036-040,,,,,,5.560165975103734,,,,,,,26.96078431372549,,,3.1968085106382977,,35.511811023622045,34.68277945619335,31.03448275862069,,,37.031630170316305,39.49343339587242,,35.3356890459364,,,12.596841074943258,21.856540084388186,8.980891719745223,35.98425196850394,,,,,,16.788617886178862,33.61884368308351,,,0.7655085994672367,0.17611336032388664,,30.31578947368421,,12.06896551724138,,,,,,,,,35.35947712418301,,15.840220385674932,23.357142857142858,36.89839572192513,,7.724137931034482,29.629990195779133,,,77.375,,,37.77070063694267,34.11764705882353,,41.343669250645995,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.86,2.2,12.41,,17.27,,,,,0.186,5.95,9.43,,2.49,0.827,0.214,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,48.6,,,,,43.8,,,,,115.0,,,,,,,,,,,pacific_plate_west_ref,36.0,40.0,38.0,786.9,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-035R-003/100-104,,,,,,5.684647302904564,,,,,,,30.22875816993464,,,0.39787234042553193,,38.30708661417323,38.670694864048336,32.58620689655172,,,39.61070559610706,41.088180112570356,,38.86925795053004,,,1.9192285071860344,25.400843881856538,9.80891719745223,38.93700787401575,,,,,,17.601626016260163,35.76017130620985,,,0.8549371741713532,0.1825910931174089,,33.473684210526315,,0.8965517241379312,,,,,,,,,37.189542483660134,,17.079889807162534,22.5,39.839572192513366,,8.931034482758621,31.919580347271157,,,100.75,,,44.64968152866241,36.882352941176464,,40.0516795865633,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.64,2.37,13.09,,14.65,,,,,0.217,6.02,10.82,,2.76,0.126,0.239,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,63.8,,,,,53.2,,,,,108.0,,,,,,,,,,,pacific_plate_west_ref,100.0,104.0,102.0,798.62,Northwest_Pacific,Seafloor altered basalt
