SAMPLE ID,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801B-043R-001/132-135,25.295858081092533,38.519584987668914,41.43291427450047,26.570392448968853,38.072280846089114,33.75933096338363,22.90090749550677,24.30774057697167,24.75785238284239,6.990382767442365,4.596097119235039,4.628443985677727,47.192367234443346,6.424082830056298,2.999239096977981,0.4877494880339423,10.084927592790706,20.982142857142858,28.235294117647054,11.156830923718374,57.0827489481066
ODP0129-0801B-038R-001/022-025,18.483811818686675,28.838031071899103,29.730487409497037,22.088376909572332,33.056527716984064,29.87752254942734,21.58409959752261,20.690872429843452,22.124768681241857,6.0857579643142925,4.054586259156735,3.9110833334176696,47.00760777824189,5.78845478785033,2.8352157835654634,0.42395860294846965,10.789754165778385,17.321428571428573,23.52941176470588,12.309396101788455,50.490883590462836
ODP0129-0801B-040R-001/015-018,26.24373723271995,41.40957175323328,39.3445873180457,28.795797394120438,47.034492219576,36.834578618213854,23.416104969725875,26.909852491678613,23.482466114575583,5.327817167234928,3.6951143894513185,3.3878501348157997,44.40142743486221,9.246361496516288,2.5878182258525895,0.3858939155506961,11.57572248759811,13.660714285714286,37.17647058823529,15.213860350525056,68.72370266479663
ODP0129-0801B-041R-001/020-025,41.08146909775204,56.50521450760127,49.06685953800606,45.687623845263246,57.52383865148382,47.88315895080313,30.65865443646479,35.895891436089535,32.99274241440477,7.421328928348946,4.653962936082432,4.3327324064708135,45.800487548063,8.128564822873466,2.893346520770135,0.6619712273596865,10.077437546025482,27.5,42.35294117647059,16.41252813571794,74.33380084151473
ODP0129-0801B-041R-001/026-031,32.279966360138886,45.18951396187123,47.36367625132921,40.74895711646305,49.50286329274792,39.88350907159457,25.735467019280957,28.60601864116323,28.57366570026967,8.115120834603752,4.624047270891878,4.41072127036976,46.8516477357221,7.109713034163682,3.078244804101579,0.5517259136352612,9.578817683178894,24.28571428571429,35.52941176470588,15.25996295764786,67.32117812061712
ODP0129-0801B-041R-001/130-136,37.54175621843625,51.45592088297458,49.82729427779433,44.51830557951456,52.02756678489155,42.76184783449529,29.504803327380564,32.86331700154807,29.4971366661157,7.011863780751113,4.27043228311733,4.25115410070866,46.33932495812936,7.400963481287717,2.901477498033837,0.6575750416335722,9.38429916152538,25.446428571428573,41.17647058823529,14.937244707788237,68.72370266479663
ODP0129-0801B-042R-002/000-007,27.985742786404384,41.833251555722256,45.73489012803971,32.66094180327971,46.581299919825,37.74112376227426,24.918846800034153,27.913061661982688,27.5836142171012,6.324252930049791,4.223341961815804,4.316314899893193,45.50566693514875,6.661829446841938,2.747258389514354,0.5842455601470443,10.583138404626155,21.696428571428573,35.29411764705882,13.323653458490124,58.906030855539974
ODP0129-0801B-042R-002/129-134,26.786661975243245,38.19586550779179,41.5289197646722,28.720844309986916,41.659053925938814,35.27223981579232,23.39510308732676,25.906984312262114,25.987823044625074,7.106219981965531,4.441124933523626,4.028235488595375,46.94200346774497,5.640957636834396,2.9104043738384138,0.5169609330913338,10.650472685209227,20.80357142857143,30.235294117647054,13.461961279858535,57.503506311360454
ODP0129-0801B-043R-001/022-027,27.881482165234484,37.87828308158915,41.58777612791434,31.12403539209204,42.51129728801943,35.33710007779714,23.950395044404356,27.38736815734633,26.79829058367712,7.524100589731433,4.4285569148358315,4.3757336606886,46.8634944771646,5.738726908890995,2.9808468674386437,0.5254414261332399,10.208829380703758,21.78571428571429,30.11764705882353,13.554166494104141,58.906030855539974
ODP0129-0801B-043R-001/128-134,25.041662245197525,37.26849153172138,34.50915886789725,28.44223689664537,35.691869475317894,30.981491523025003,24.51305012009786,22.542442532091908,22.7418030857723,6.0854625192109895,4.35483521830823,4.142240753881417,46.32354866480032,8.813514052076458,2.7083055431563863,0.4661082823576857,10.544487181106176,18.571428571428573,29.882352941176467,11.433446566455194,51.89340813464236
