SAMPLE ID,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,Si,Fe,Mn,Ni,Co,Cu,Cd,Zn,As,Ag,FeS2,S,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,Al,Ca,Mg,S_PY,TOC,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ag.1,Al.1,As.1,Au,B,Ba,Be,Bi,Br,C,Ca.1,Cd.1,Co.1,Cr,Cs,Cu.1,Ga,GER,Hf,Hg,I,INDIUM,Ir,K,Li,Mg.1,Mn.1,Mo,N,Na,Nb,Ni.1,Os,OS_INI,P,Pa,Pb,Pd,Pt,Rb,Re,Rh,Ru,S.1,Sb,Sc,Se,Si.1,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn.1,Zr,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth
ODP0129-0801B-043R-004/005-010,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.2,3.08,16.83,,4.11,,4.59,,,0.2,3.58,6.15,,3.84,3.27,0.59,,6.82,,,2.14,,,,,,,,,,,,,41.0,23.0,33.0,,81.0,,,,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,59.4,,24.0,6.72,2.16,,0.95,,,,,2.33,0.34,,,,,,452.0,,,,,,,23.0,110.0,0.32,33.0,21.0,,5.75,,,,,,,,,,,,43.0,41.0,,,,,6.0,,,59,,,,234.0,,20.0,,,,411.0,2.79,,2.65,,,0.8,270.0,,29.0,81.0,259.0,,,,,,,2.14,,2.14,,pacific_plate_west_ref,5.0,10.0,7.5,496.53
ODP0129-0801B-044R-001/018-024,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.87,3.26,16.8,,3.76,,4.16,,,0.31,2.65,9.37,,4.01,2.94,0.57,,7.69,,,1.57,,,,,,,,,,,,,60.0,,35.0,,79.0,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.84,67.53,7.88,32.94,7.02,2.37,7.15,,6.25,1.12,3.03,,2.56,0.4,,,,,,376.0,,,,,,,,90.0,0.5,35.0,22.0,,6.2,,,,,,,,,,,,43.0,60.0,,,,,9.0,,,51,,,,214.0,,23.8,,,,490.0,2.81,,2.8,,,0.95,254.0,,32.0,79.0,264.0,,,,,,,1.57,,1.57,,pacific_plate_west_ref,18.0,24.0,21.0,501.88
ODP0129-0801B-044R-001/107-113,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.13,3.26,17.72,,4.32,,3.22,,,0.18,3.05,4.35,,3.12,4.57,0.57,,6.96,,,3.34,,,,,,,,,,,,,107.0,43.0,35.0,,87.0,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,56.6,,25.0,6.18,2.06,,0.88,,,,,2.02,0.27,,,,,,437.0,,,,,,,43.0,123.0,0.52,35.0,24.0,,5.27,,,,,,,,,,,,42.0,107.0,,,,,1.0,,,63,,,,347.0,,181.0,,,,250.0,2.8,,2.62,,,0.55,284.0,,27.0,87.0,214.0,,,,,,,3.34,,3.34,,pacific_plate_west_ref,107.0,113.0,110.0,502.77
ODP0129-0801B-044R-002/027-032,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.42,3.27,17.7,,3.75,,3.27,,,0.13,3.03,3.56,,3.2,5.67,0.55,,4.38,,,2.06,,,,,,,,,,,,,93.0,,42.0,,69.0,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.84,66.47,7.68,32.4,6.97,2.31,6.96,,6.14,1.08,2.99,,2.52,0.4,,,,,,531.0,,,,,,,,130.0,0.74,42.0,20.0,,5.8,,,,,,,,,,,,44.0,93.0,,,,,8.0,,,67,,,,264.0,,23.7,,,,311.0,2.8,,2.8,,,2.3,253.0,,31.0,69.0,254.0,,,,,,,2.06,,2.06,,pacific_plate_west_ref,27.0,32.0,29.5,503.42
ODP0129-0801B-044R-003/028-033,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.65,3.16,17.22,,4.18,,5.04,,,0.14,4.21,7.24,,4.08,2.31,0.57,,3.65,,,1.4,,,,,,,,,,,,,59.0,35.0,36.0,,83.0,,,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,60.6,,33.0,7.09,2.33,,1.09,,,,,2.6,0.38,,,,,,396.0,,,,,,,35.0,92.0,0.33,36.0,22.0,,5.88,,,,,,,,,,,,44.0,59.0,,,,,10.0,,,46,,,,285.0,,20.9,,,,528.0,2.79,,2.76,,,0.97,243.0,,33.0,83.0,268.0,,,,,,,1.4,,1.4,,pacific_plate_west_ref,28.0,33.0,30.5,504.91
ODP0129-0801C-001R-001/014-020,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.06,2.69,14.18,,4.49,,6.34,,,0.16,10.14,7.44,,2.58,1.57,0.51,,5.31,,,2.42,,,,,,,,,,,,,247.0,,39.0,,84.0,,,,381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.97,59.22,6.69,28.43,6.06,1.99,,,5.18,0.9,2.5,,2.08,0.34,,,,,,315.0,,,,,,,,227.0,0.31,39.0,20.0,,4.9,,,,,,,,,,,,38.0,247.0,,,,,1.0,,,35,,,,381.0,,20.6,,,,465.0,2.31,,2.5,,,0.83,224.0,,27.0,84.0,221.0,,,,,,,2.42,,2.42,,pacific_plate_west_ref,14.0,20.0,17.0,493.84
ODP0129-0801C-001R-001/109-114,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.92,2.8,14.72,,3.62,,6.4,,,0.15,9.58,6.46,,3.45,1.75,0.6,,5.3,,,3.77,,,,,,,,,,,,,197.0,46.0,40.0,,86.0,,,,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,57.5,,30.0,6.37,2.05,,0.9,,,,,2.05,0.3,,,,,,427.0,,,,,,,46.0,154.0,0.31,40.0,19.0,,5.4,,,,,,,,,,,,41.0,197.0,,,,,1.0,,,40,,,,263.0,,20.1,,,,363.0,2.62,,2.61,,,0.97,241.0,,27.0,86.0,242.0,,,,,,,3.77,,3.77,,pacific_plate_west_ref,109.0,114.0,111.5,494.79
ODP0129-0801C-001R-005/033-038,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.13,3.14,16.57,,3.96,,5.79,,,0.16,5.08,6.59,,4.63,2.43,0.57,,4.36,,,2.9,,,,,,,,,,,,,57.0,30.0,36.0,,76.0,,,,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,60.3,,31.0,7.02,2.3,,1.03,,,,,2.51,0.36,,,,,,948.0,,,,,,,30.0,84.0,0.3,36.0,20.0,,5.91,,,,,,,,,,,,44.0,57.0,,,,,5.0,,,47,,,,312.0,,20.6,,,,470.0,2.86,,2.69,,,1.06,248.0,,32.0,76.0,267.0,,,,,,,2.9,,2.9,,pacific_plate_west_ref,33.0,38.0,35.5,498.88
ODP0129-0801C-002R-001/112-118,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.53,3.07,16.31,,4.25,,5.32,,,0.16,4.68,7.14,,3.94,2.14,0.61,,6.92,,,1.86,,,,,,,,,,,,,42.0,28.0,40.0,,83.0,,,,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16,64.62,7.49,31.68,6.93,2.32,6.9,,6.21,1.09,2.99,,2.58,0.42,,,,,,396.0,,,,,,,28.0,87.0,0.44,40.0,24.0,,5.7,,,,,,,,,,,,42.0,42.0,,,,,3.0,,,44,,,,307.0,,21.5,,,,477.0,2.46,,2.43,,,0.81,254.0,,31.0,83.0,259.0,,,,,,,1.86,,1.86,,pacific_plate_west_ref,112.0,118.0,115.0,504.12
ODP0129-0801C-002R-003/114-119,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.25,3.17,16.77,,3.73,,5.27,,,0.19,4.9,6.34,,3.98,2.45,0.6,,7.39,,,2.13,,,,,,,,,,,,,114.0,41.0,42.0,,78.0,,,,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,58.0,,25.0,6.73,2.21,,0.93,,,,,2.25,0.32,,,,,,408.0,,,,,,,41.0,131.0,0.42,42.0,24.0,,5.74,,,,,,,,,,,,41.0,114.0,,,,,1.0,,,48,,,,279.0,,19.7,,,,498.0,2.64,,2.47,,,1.14,265.0,,30.0,78.0,255.0,,,,,,,2.13,,2.13,,pacific_plate_west_ref,114.0,119.0,116.5,506.98
ODP0129-0801C-002R-004/071-076,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.95,3.15,16.4,,3.66,,6.19,,,0.15,5.28,7.13,,3.86,2.33,0.54,,5.82,,,1.36,,,,,,,,,,,,,46.0,,40.0,,87.0,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.14,64.75,7.45,31.41,6.85,2.29,6.88,,6.16,1.09,3.0,,2.56,0.41,,,,,,387.0,,,,,,,,76.0,0.4,40.0,23.0,,5.7,,,,,,,,,,,,41.0,46.0,,,,,2.0,,,46,,,,246.0,,20.9,,,,495.0,2.45,,2.46,,,0.85,262.0,,32.0,87.0,257.0,,,,,,,1.36,,1.36,,pacific_plate_west_ref,71.0,76.0,73.5,507.81
ODP0129-0801C-005R-001/103-105,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,52.13,1.23,18.78,,4.76,,0.61,,,0.07,1.86,5.02,,1.37,6.88,0.02,,6.74,,,3.53,,,,,,,,,,,,,46.0,8.0,20.0,,39.0,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,6.0,,9.0,2.39,0.93,,0.57,,,,,1.78,0.25,,,,,,149.0,,,,,,,8.0,341.0,0.46,20.0,12.0,,1.72,,,,,,,,,,,,2.0,46.0,,,,,1.0,,,59,,,,125.0,,29.7,,,,82.0,0.05,,0.1,,,0.47,183.0,,25.0,39.0,70.0,,,,,,,3.53,,3.53,,pacific_plate_west_ref,103.0,105.0,104.0,532.23
ODP0129-0801C-005R-002/087-089,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.35,1.2,19.62,,3.85,,1.96,,,0.1,3.06,13.57,,2.93,0.7,0.02,,7.27,,,1.7,,,,,,,,,,,,,85.0,23.0,88.0,,48.0,,,,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,5.4,,6.0,2.25,0.9,,0.51,,,,,1.93,0.27,,,,,,14.0,,,,,,,23.0,342.0,0.19,88.0,18.0,,1.78,,,,,,,,,,,,2.0,85.0,,,,,1.0,,,18,,,,326.0,,38.8,,,,155.0,0.06,,0.08,,,0.2,245.0,,21.0,48.0,66.0,,,,,,,1.7,,1.7,,pacific_plate_west_ref,87.0,89.0,88.0,533.33
ODP0129-0801C-005R-003/038-043,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.91,1.15,19.39,,3.46,,3.6,,,0.13,4.79,13.14,,2.74,0.06,0.07,,5.06,,,1.44,,,,,,,,,,,,,89.0,66.0,86.0,,56.0,,,,493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,5.3,,6.0,2.29,0.94,,0.61,,,,,2.11,0.32,,,,,,15.0,,,,,,,66.0,335.0,0.12,86.0,18.0,,1.67,,,,,,,,,,,,4.0,89.0,,,,,1.0,,,3,,,,493.0,,37.7,,,,143.0,0.07,,0.13,,,0.19,233.0,,24.0,56.0,69.0,,,,,,,1.44,,1.44,,pacific_plate_west_ref,38.0,43.0,40.5,534.15
ODP0129-0801C-005R-003/125-131,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.59,1.03,6.63,,6.62,,9.58,,,0.39,4.05,6.94,,1.28,1.28,0.05,,15.92,,,1.49,,,,,,,,,,,,,120.0,,47.0,,181.0,,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,10.44,1.78,11.1,3.46,1.25,5.73,,7.62,1.56,4.74,,4.74,0.81,,,,,,16.0,,,,,,,,65.0,0.27,47.0,11.0,,1.33,,,,,,,,,,,,0.7,120.0,,,,,5.0,,,32,,,,168.0,,53.1,,,,89.0,0.09,,0.11,,,0.81,387.0,,49.0,181.0,67.0,,,,,,,1.49,,1.49,,pacific_plate_west_ref,125.0,131.0,128.0,535.02
ODP0129-0801C-006R-002/029-034,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.43,0.98,16.32,,2.54,,5.9,,,0.14,9.67,11.48,,2.16,0.05,0.05,,4.45,,,1.51,,,,,,,,,,,,,240.0,48.0,79.0,,53.0,,,,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,3.9,,5.0,1.97,0.8,,0.56,,,,,2.29,0.35,,,,,,8.0,,,,,,,48.0,559.0,0.11,79.0,14.0,,1.42,,,,,,,,,,,,3.0,240.0,,,,,1.0,,,4,,,,383.0,,39.5,,,,100.0,0.06,,0.08,,,0.2,217.0,,24.0,53.0,55.0,,,,,,,1.51,,1.51,,pacific_plate_west_ref,29.0,34.0,31.5,542.08
ODP0129-0801C-006R-002/119-124,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.4,1.0,17.22,,3.44,,4.85,,,0.16,7.69,12.84,,2.37,0.02,0.01,,3.91,,,1.1,,,,,,,,,,,,,283.0,,82.0,,69.0,,,,505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,5.23,1.26,7.04,1.92,0.87,3.37,,4.06,0.82,2.53,,2.44,0.44,,,,,,6.0,,,,,,,,557.0,0.05,82.0,14.0,,1.5,,,,,,,,,,,,3.0,283.0,,,,,1.0,,,2,,,,505.0,,40.4,,,,109.0,0.02,,0.03,,,0.02,213.0,,26.0,69.0,60.0,,,,,,,1.1,,1.1,,pacific_plate_west_ref,119.0,124.0,121.5,542.98
ODP0129-0801C-006R-003/037-042,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,40.58,0.98,17.53,,2.87,,2.48,,,0.18,2.71,16.37,,2.63,0.9,0.01,,12.28,,,1.86,,,,,,,,,,,,,220.0,,85.0,,52.0,,,,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,5.19,1.05,5.69,1.54,0.7,2.46,,2.89,0.58,1.82,,1.72,0.3,,,,,,7.0,,,,,,,,515.0,0.07,85.0,15.0,,1.18,,,,,,,,,,,,4.0,220.0,,,,,1.0,,,9,,,,323.0,,26.7,,,,130.0,0.04,,0.03,,,0.67,264.0,,18.0,52.0,48.0,,,,,,,1.86,,1.86,,pacific_plate_west_ref,37.0,42.0,39.5,543.56
ODP0129-0801C-007R-001/053-058,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.26,1.93,13.23,,3.5,,9.12,,,0.2,6.96,11.16,,2.68,0.08,0.16,,2.58,,,0.59,,,,,,,,,,,,,71.0,,81.0,,98.0,,,,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,15.13,2.36,13.36,4.24,1.49,6.03,,7.48,1.48,4.39,,4.36,0.74,,,,,,32.0,,,,,,,,140.0,0.05,81.0,19.0,,2.9,,,,,,,,,,,,7.0,71.0,,,,,5.0,,,1,,,,576.0,,42.0,,,,114.0,0.18,,0.19,,,0.1,416.0,,44.0,98.0,119.0,,,,,,,0.59,,0.59,,pacific_plate_west_ref,53.0,58.0,55.5,550.63
ODP0129-0801C-007R-001/099-105,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.01,1.96,13.58,,3.35,,8.43,,,0.19,6.62,11.44,,2.73,0.06,0.15,,3.86,,,0.85,,,,,,,,,,,,,71.0,53.0,73.0,,101.0,,,,607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,11.2,,13.0,4.08,1.48,,1.03,,,,,4.08,0.62,,,,,,27.0,,,,,,,53.0,154.0,0.3,73.0,19.0,,3.36,,,,,,,,,,,,8.0,71.0,,,,,5.0,,,1,,,,607.0,,46.6,,,,118.0,0.19,,0.14,,,0.4,439.0,,43.0,101.0,120.0,,,,,,,0.85,,0.85,,pacific_plate_west_ref,99.0,105.0,102.0,551.09
ODP0129-0801C-007R-003/000-005,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.04,1.97,13.82,,6.4,,6.46,,,0.15,6.18,11.16,,2.79,0.44,0.1,,2.95,,,1.11,,,,,,,,,,,,,58.0,,74.0,,107.0,,,,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,12.66,2.04,12.27,3.85,1.45,5.65,,6.98,1.39,4.04,,3.96,0.66,,,,,,20.0,,,,,,,,130.0,0.26,74.0,22.0,,2.9,,,,,,,,,,,,7.0,58.0,,,,,7.0,,,14,,,,502.0,,43.4,,,,126.0,0.18,,0.18,,,0.26,476.0,,41.0,107.0,119.0,,,,,,,1.11,,1.11,,pacific_plate_west_ref,0.0,5.0,2.5,552.98
ODP0129-0801C-007R-004/077-083,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.88,2.01,13.71,,4.17,,7.65,,,0.17,6.64,11.31,,2.76,0.07,0.09,,1.7,,,0.91,,,,,,,,,,,,,67.0,47.0,76.0,,106.0,,,,622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,11.4,,12.0,4.25,1.51,,1.05,,,,,4.25,0.64,,,,,,18.0,,,,,,,47.0,156.0,0.2,76.0,20.0,,3.18,,,,,,,,,,,,8.0,67.0,,,,,6.0,,,2,,,,622.0,,47.1,,,,117.0,0.2,,0.16,,,0.4,429.0,,44.0,106.0,120.0,,,,,,,0.91,,0.91,,pacific_plate_west_ref,77.0,83.0,80.0,555.2
ODP0129-0801C-007R-004/137-142,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.61,1.91,13.41,,3.06,,8.3,,,0.19,6.25,12.31,,2.82,0.1,0.09,,4.41,,,0.51,,,,,,,,,,,,,56.0,,71.0,,94.0,,,,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,13.02,2.18,12.64,4.0,1.51,5.97,,7.28,1.44,4.32,,4.23,0.71,,,,,,27.0,,,,,,,,122.0,0.05,71.0,22.0,,2.7,,,,,,,,,,,,7.0,56.0,,,,,5.0,,,2,,,,644.0,,43.9,,,,131.0,0.16,,0.16,,,0.07,416.0,,43.0,94.0,116.0,,,,,,,0.51,,0.51,,pacific_plate_west_ref,137.0,142.0,139.5,555.8
ODP0129-0801C-008R-001/065-067,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.66,2.19,15.92,,7.86,,2.25,,,0.08,2.99,10.65,,3.47,0.84,0.14,,7.3,,,2.14,,,,,,,,,,,,,61.0,26.0,73.0,,70.0,,,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,12.8,,12.0,4.4,1.57,,1.0,,,,,3.45,0.51,,,,,,29.0,,,,,,,26.0,181.0,0.31,73.0,24.0,,3.3,,,,,,,,,,,,6.0,61.0,,,,,2.0,,,20,,,,269.0,,49.1,,,,150.0,0.19,,0.14,,,0.7,528.0,,41.0,70.0,112.0,,,,,,,2.14,,2.14,,pacific_plate_west_ref,65.0,67.0,66.0,560.15
ODP0129-0801C-008R-001/101-106,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.38,1.9,13.32,,2.76,,9.57,,,0.23,6.61,11.77,,2.69,0.1,0.09,,3.61,,,0.55,,,,,,,,,,,,,55.0,,73.0,,107.0,,,,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,12.75,2.12,12.27,4.02,1.51,6.03,,7.43,1.48,4.38,,4.32,0.74,,,,,,13.0,,,,,,,,128.0,0.1,73.0,18.0,,2.8,,,,,,,,,,,,7.0,55.0,,,,,5.0,,,3,,,,561.0,,44.8,,,,122.0,0.18,,0.17,,,0.07,421.0,,44.0,107.0,116.0,,,,,,,0.55,,0.55,,pacific_plate_west_ref,101.0,106.0,103.5,560.51
ODP0129-0801C-008R-002/078-080,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.49,1.89,13.36,,3.48,,8.25,,,0.21,7.4,12.82,,2.71,0.08,0.16,,3.34,,,0.57,,,,,,,,,,,,,58.0,48.0,74.0,,101.0,,,,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,10.7,,11.0,4.11,1.45,,1.04,,,,,4.04,0.61,,,,,,13.0,,,,,,,48.0,143.0,0.3,74.0,19.0,,3.01,,,,,,,,,,,,7.0,58.0,,,,,6.0,,,2,,,,541.0,,46.3,,,,124.0,0.19,,0.13,,,0.2,388.0,,42.0,101.0,113.0,,,,,,,0.57,,0.57,,pacific_plate_west_ref,78.0,80.0,79.0,561.35
ODP0129-0801C-008R-002/133-139,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.52,1.91,13.4,,3.59,,8.9,,,0.2,6.66,11.47,,3.49,0.09,0.15,,1.77,,,0.91,,,,,,,,,,,,,64.0,47.0,74.0,,104.0,,,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,11.3,,12.0,4.04,1.48,,1.05,,,,,4.07,0.63,,,,,,20.0,,,,,,,47.0,140.0,0.09,74.0,19.0,,3.17,,,,,,,,,,,,6.0,64.0,,,,,6.0,,,3,,,,654.0,,47.3,,,,115.0,0.2,,0.11,,,0.4,430.0,,44.0,104.0,116.0,,,,,,,0.91,,0.91,,pacific_plate_west_ref,133.0,139.0,136.0,561.9
