Sample ID,Rb,Ba,Th,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,Nb
329-U1365E-2R-1-W 36/40,0.26070495355504875,5.5374744535115035,0.1131331310165718,0.04211862357294973,483.62886264302364,2.4180654868826044,8.585797119550303,0.28796965960430637,93.14341653562514,8.367808421603005,32.89661843065595,3.2142750787069065,0.4802369630189104,50.49257356312835,7.7285702597656485,2.6363280733346923,0.15476982722642102,11.428476140377946,79.88,8870.141610427336,2.196995342112533
329-U1365E-2R-1-W 65/69,0.17580339770770143,5.044232881069827,0.09057579916737259,0.0396395478793256,386.0960874026079,2.1598911342351994,8.07947817823683,0.23872419345949814,86.37645437285383,8.349481376437573,32.690386128628376,3.175028449725255,0.48710502383321885,50.42831641463833,7.79992782139113,2.5368751721461673,0.1556761009572043,11.378114944932499,77.8,8690.341442648403,2.026650544918999
329-U1365E-3R-1-W 130/134,0.16128087609698216,5.110584304285034,0.0924371403080867,0.03649164994372064,345.471876310184,2.169297497143356,7.729799697686231,0.1877453651771496,79.37402588432981,8.076921900620912,32.25880070936092,3.1486904300827194,0.4866886965310464,50.352761140459755,7.873290917007702,2.442414990614821,0.1514001425070132,11.449231693452928,73.93,8450.607885609827,1.9632001312744565
329-U1365E-3R-2-W 20/22,0.18718091286609406,5.000457861302899,0.09496298923759557,0.03634163478382542,352.56611447434676,2.1946201567726353,8.056664387229054,0.2159159142394976,78.6940098143916,8.29395682298647,32.53233971310487,3.1699639689915,0.48223358613159034,50.33942663535097,7.742695476594006,2.4848153496329672,0.1419124762901588,11.430983555387861,76.36,8510.54127486947,1.9563525482771675
329-U1365E-3R-2-W 22/24,0.1947813996316856,5.96946173430021,0.10630948733366258,0.04110862104517009,430.1419227423654,2.317803444717464,8.342778455459703,0.22263236312987922,87.3212482981154,8.338737159603346,32.73005601340319,3.224003015128997,0.4883276785581674,50.49519922758638,7.7599514062617425,2.5911706548963545,0.16928972240167256,11.41091084443572,76.94,8750.274831908047,2.15922974439276
329-U1365E-3R-2-W 52/56,0.972130336858979,13.709849076891896,0.1434660195085705,0.0891705209881323,747.5986880548031,2.7214317445645273,8.112574110601008,0.3431097046104581,99.67653397075385,8.412526613279535,28.017049899474443,2.795664847892803,0.4022211026320039,49.8347352533123,7.499005691735735,2.468234807092513,0.1179694991759702,11.669229163670828,63.57,7192.006711157299,1.4321557048092868
329-U1365E-3R-3-W 33/37,1.5474967526301968,11.562878238909523,0.15203542801395342,0.08874720882851798,889.6761230805997,2.4459381767770747,7.926027251773062,0.46645210703775486,119.75036609482427,7.2375345179826125,26.74469005515087,2.5844857239675627,0.37597196681700984,49.71636098088545,7.351615890221542,2.510675003863111,0.11292612161321954,11.024547254325011,60.15,6592.672818560856,1.3263458802930468
329-U1365E-3R-3-W 112/116,0.9484151600260053,11.266648529256265,0.1399704981065902,0.06126658267450062,723.1587393938782,2.52630291511793,7.61990366954911,0.5002182044092319,105.06516717909953,7.0662386196111155,26.97910018834483,2.6434226832319783,0.3873276485640155,49.80721623593693,7.517710456167438,2.4110789446256593,0.11067828378991981,11.082054159257961,58.42,6712.539597080148,1.2527752925834
329-U1365E-3R-4-W 66/68,0.9044215225779383,12.138357273618917,0.13436031341236893,0.05965053917681949,808.5544471007702,2.6769100701296464,8.003266620377927,0.5035164170173501,111.29616532892292,8.154198596651502,27.512585107356113,2.726605212821692,0.4003502007355224,49.90816448415967,7.510522192244201,2.565365997129605,0.11822876381343768,11.25063271798054,60.23,7012.206543378366,1.3545705312749758
329-U1365E-3R-4-W 68/70,0.7559811758476246,11.315157975393648,0.13374366538530422,0.063437243750583,621.7233573188681,2.6201559255831293,7.658868752258196,0.2902685505118873,88.64427833419484,7.823546749053518,28.696967095765352,2.895111033540054,0.4120794927719892,49.826875556891856,7.663415989014762,2.321005386439901,0.11157968343318067,12.062346649137773,62.32,7192.006711157299,1.4678707364734078
329-U1365E-4R-1-W 22/24,0.14488858546135008,4.619041801151,0.09414167367847771,0.0402108112755869,377.79941030505876,2.41114909960072,8.617025395867397,0.1842869911341441,84.40389588236998,8.654096379893831,32.17447128858803,3.1689182393844773,0.4839301805521076,50.32512268014985,7.831508879047095,2.4779573006439723,0.17817741661832606,11.320115101399152,75.21,8630.408053388759,1.840132351812951
329-U1365E-4R-1-W 24/25,0.16111386665695637,4.691754333125042,0.09441268456664102,0.032223187135896635,431.54014223298964,2.37487540292041,8.334761750843546,0.1767560811552516,80.46079668849775,8.330864454204526,31.807787961712876,3.1334817098948506,0.4823585369783606,50.34152358597933,7.796171146335862,2.361246252432887,0.16842205286029896,10.93067603285875,72.01,8390.674496350182,1.793398877057115
329-U1365E-4R-1-W 37/40,0.17883210947691894,4.966134096866929,0.11402763676346969,0.0373557469785581,391.0612212228622,2.480432011803513,8.023264649887013,0.18923800744746697,79.43770869253888,8.09005709885631,31.504311270054007,3.116877500600031,0.476781705855281,50.33877688333184,7.825911514456241,2.1010109914056008,0.16553322962224729,11.178477374956406,70.54,8091.0075500519615,1.7587820656584283
329-U1365E-4R-2-W 88/92,0.2660320884611827,4.8199262502526405,0.10946544154109121,0.04362249066888042,404.13770752466615,2.5193682052773205,8.189360579281137,0.24175875436292318,84.08397972434358,8.811250988087396,31.549529830316548,3.1507724342797614,0.4775232554905054,50.298621008899424,7.617079927687594,2.2995582865448014,0.15443208424621488,10.904793849012,74.01,8210.874328571252,1.684903121387283
329-U1365E-4R-2-W 137/142,0.2988043097762542,4.8199262502526405,0.10854870606411064,0.04336703881119282,404.2023551049479,2.48954739825447,8.10493666583653,0.22702510643825594,83.1803741632445,8.782517103055811,31.509399289939772,3.1257055349496814,0.4695959167239311,50.28937257126478,7.630613699608649,2.2709893293389807,0.15837307790848593,10.908647917577099,73.19,8091.0075500519615,1.671775162773588
329-U1365E-4R-3-W 10/13,0.18588140312166884,5.056666768540973,0.09581332862762565,0.037824688540791906,359.5868917443356,2.2913477628839036,8.334430393446747,0.21519894466718759,80.16556359972056,8.4554279226792,32.48658018397377,3.1678287555342077,0.4826823416804287,50.3471392331326,7.764235950861854,2.451826836873756,0.14531459581893608,11.417374439467979,75.73,8510.54127486947,1.8906461762671212
329-U1365E-5R-1-W 8/12,0.2228998524671316,4.961128574014509,0.091188592305365,0.04212769804609021,443.0251445461756,2.4469551729530723,8.674246474525415,0.21394187996325836,88.9668993177812,8.843405299043729,32.687671409154234,3.2054919811302285,0.48685703066965436,50.29528470804463,7.698491943662427,2.5396653264287017,0.15692704219409348,11.258476555003456,79.56,8750.274831908047,1.903147783005812
