,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,Si,Fe,Mn,Ni,Co,Cu,Cd,Zn,As,Ag,FeS2,S,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,Al,Ca,Mg,S_PY,TOC,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ag.1,Al.1,As.1,Au,B,Ba,Be,Bi,Br,C,Ca.1,Cd.1,Co.1,Cr,Cs,Cu.1,Ga,GER,Hf,Hg,I,INDIUM,Ir,K,Li,Mg.1,Mn.1,Mo,N,Na,Nb,Ni.1,Os,OS_INI,P,Pa,Pb,Pd,Pt,Rb,Re,Rh,Ru,S.1,Sb,Sc,Se,Si.1,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn.1,Zr,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,Unnamed: 0,Top Depth (m),Bottom Depth (m),Sample Pair,Sample Pair ID,TFe2O3,TOTAL,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),CaO*,CIA*,CIA,SAMPLE_INFO,Depth_to_basement,Core_Site,Core_hole
ODP0129-0801B-043R-004/005-010,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.2,3.08,16.83,,4.11,,4.59,,,0.2,3.58,6.15,,3.84,3.27,0.59,,6.82,,,2.14,,,,,,,,,,,,,41.0,23.0,33.0,,81.0,,,,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,59.4,,24.0,6.72,2.16,,0.95,,,,,2.33,0.34,,,,,,452.0,,,,,,,23.0,110.0,0.32,33.0,21.0,,5.75,,,,,14271.1090705424,,,,,,,37.1720440535023,41.0,,,4897.663906581742,,6.0,,,59.0,,,,234.0,,20.0,,,,411.0,2.79,,2.387001819950032,,,0.8,270.0,,29.0,81.0,259.0,,,,,,,2.14,,2.14,,Northwest,5.0,10.0,7.5,496.53,,,,,,,,,,,,,,,,,,,,,6.148753029363693,44.443381814488596,44.44604287203871,OLD_Oceanic_Crust,34.52999999999997,801,801
ODP0129-0801B-044R-001/018-024,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.87,3.26,16.8,,3.76,,4.16,,,0.31,2.65,9.37,,4.01,2.94,0.57,,7.69,,,1.57,,,,,,,,,,,,,60.0,,35.0,,79.0,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.84,67.53,7.88,32.94,7.02,2.37,7.15,,6.25,1.12,3.03,,2.56,0.4,,,,,,376.0,,,,,,,,90.0,0.5,35.0,22.0,,6.2,,,,,12830.905402872984,,,,,,,42.48011892642918,60.0,,,4731.641401273885,,9.0,,,51.0,,,,214.0,,23.8,,,,490.0,2.81,,3.168911716844083,,,0.95,254.0,,32.0,79.0,264.0,,,,,,,1.57,,1.57,,Northwest,18.0,24.0,21.0,501.88,,,,,,,,,,,,,,,,,,,,,9.368795299554753,38.51842394647454,38.520358454674856,OLD_Oceanic_Crust,39.879999999999995,801,801
ODP0129-0801B-044R-001/107-113,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.13,3.26,17.72,,4.32,,3.22,,,0.18,3.05,4.35,,3.12,4.57,0.57,,6.96,,,3.34,,,,,,,,,,,,,107.0,43.0,35.0,,87.0,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,56.6,,25.0,6.18,2.06,,0.88,,,,,2.02,0.27,,,,,,437.0,,,,,,,43.0,123.0,0.52,35.0,24.0,,5.27,,,,,19944.638670452223,,,,,,,35.81230283559836,107.0,,,4731.641401273885,,1.0,,,63.0,,,,347.0,,181.0,,,,250.0,2.8,,2.6470614425857057,,,0.55,284.0,,27.0,87.0,214.0,,,,,,,3.34,,3.34,,Northwest,107.0,113.0,110.0,502.77,,,,,,,,,,,,,,,,,,,,,4.348795299554753,49.62434524874271,49.62738945119021,OLD_Oceanic_Crust,40.76999999999998,801,801
ODP0129-0801B-044R-002/027-032,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.42,3.27,17.7,,3.75,,3.27,,,0.13,3.03,3.56,,3.2,5.67,0.55,,4.38,,,2.06,,,,,,,,,,,,,93.0,,42.0,,69.0,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.84,66.47,7.68,32.4,6.97,2.31,6.96,,6.14,1.08,2.99,,2.52,0.4,,,,,,531.0,,,,,,,,130.0,0.74,42.0,20.0,,5.8,,,,,24745.317562683613,,,,,,,40.56231933880639,93.0,,,4565.61889596603,,8.0,,,67.0,,,,264.0,,23.7,,,,311.0,2.8,,3.077359030221314,,,2.3,253.0,,31.0,69.0,254.0,,,,,,,2.06,,2.06,,Northwest,27.0,32.0,29.5,503.42,,,,,,,,,,,,,,,,,,,,,3.5588375697458154,49.755268054747766,49.75822429372859,OLD_Oceanic_Crust,41.420000000000016,801,801
ODP0129-0801B-044R-003/028-033,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.65,3.16,17.22,,4.18,,5.04,,,0.14,4.21,7.24,,4.08,2.31,0.57,,3.65,,,1.4,,,,,,,,,,,,,59.0,35.0,36.0,,83.0,,,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,60.6,,33.0,7.09,2.33,,1.09,,,,,2.6,0.38,,,,,,396.0,,,,,,,35.0,92.0,0.33,36.0,22.0,,5.88,,,,,10081.425673685915,,,,,,,37.44900016994297,59.0,,,4731.641401273885,,10.0,,,46.0,,,,285.0,,20.9,,,,528.0,2.79,,2.624403969928625,,,0.97,243.0,,33.0,83.0,268.0,,,,,,,1.4,,1.4,,Northwest,28.0,33.0,30.5,504.91,,,,,,,,,,,,,,,,,,,,,7.238795299554754,43.489263059567534,43.491668950874924,OLD_Oceanic_Crust,42.910000000000025,801,801
ODP0129-0801C-001R-001/014-020,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.06,2.69,14.18,,4.49,,6.34,,,0.16,10.14,7.44,,2.58,1.57,0.51,,5.31,,,2.42,,,,,,,,,,,,,247.0,,39.0,,84.0,,,,381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.97,59.22,6.69,28.43,6.06,1.99,,,5.18,0.9,2.5,,2.08,0.34,,,,,,315.0,,,,,,,,227.0,0.31,39.0,20.0,,4.9,,,,,6851.878055275709,,,,,,,38.00386856605648,247.0,,,4233.573885350319,,1.0,,,35.0,,,,381.0,,20.6,,,,465.0,2.31,,2.7134366686514158,,,0.83,224.0,,27.0,84.0,221.0,,,,,,,2.42,,2.42,,Northwest,14.0,20.0,17.0,493.84,,,,,,,,,,,,,,,,,,,,,7.438922110127939,42.13836219756452,42.1408164583884,OLD_Oceanic_Crust,31.839999999999975,801,801
ODP0129-0801C-001R-001/109-114,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.92,2.8,14.72,,3.62,,6.4,,,0.15,9.58,6.46,,3.45,1.75,0.6,,5.3,,,3.77,,,,,,,,,,,,,197.0,46.0,40.0,,86.0,,,,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,57.5,,30.0,6.37,2.05,,0.9,,,,,2.05,0.3,,,,,,427.0,,,,,,,46.0,154.0,0.31,40.0,19.0,,5.4,,,,,7637.4436921863,,,,,,,34.77406702594888,197.0,,,4980.6751592356695,,1.0,,,40.0,,,,263.0,,20.1,,,,363.0,2.62,,2.6319474237763547,,,0.97,241.0,,27.0,86.0,242.0,,,,,,,3.77,,3.77,,Northwest,109.0,114.0,111.5,494.79,,,,,,,,,,,,,,,,,,,,,6.458731894268162,43.24927358852442,43.25220364957529,OLD_Oceanic_Crust,32.79000000000002,801,801
ODP0129-0801C-001R-005/033-038,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.13,3.14,16.57,,3.96,,5.79,,,0.16,5.08,6.59,,4.63,2.43,0.57,,4.36,,,2.9,,,,,,,,,,,,,57.0,30.0,36.0,,76.0,,,,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,60.3,,31.0,7.02,2.3,,1.03,,,,,2.51,0.36,,,,,,948.0,,,,,,,30.0,84.0,0.3,36.0,20.0,,5.91,,,,,10605.136098292976,,,,,,,37.4706555782027,57.0,,,4731.641401273885,,5.0,,,47.0,,,,312.0,,20.6,,,,470.0,2.86,,2.6345755492376206,,,1.06,248.0,,32.0,76.0,267.0,,,,,,,2.9,,2.9,,Northwest,33.0,38.0,35.5,498.88,,,,,,,,,,,,,,,,,,,,,6.588795299554754,42.70747720596632,42.70988839285808,OLD_Oceanic_Crust,36.879999999999995,801,801
ODP0129-0801C-002R-001/112-118,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.53,3.07,16.31,,4.25,,5.32,,,0.16,4.68,7.14,,3.94,2.14,0.61,,6.92,,,1.86,,,,,,,,,,,,,42.0,28.0,40.0,,83.0,,,,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16,64.62,7.49,31.68,6.93,2.32,6.9,,6.21,1.09,2.99,,2.58,0.42,,,,,,396.0,,,,,,,28.0,87.0,0.44,40.0,24.0,,5.7,,,,,9339.502572159246,,,,,,,40.21090625473296,42.0,,,5063.686411889597,,3.0,,,44.0,,,,307.0,,21.5,,,,477.0,2.46,,3.168784698964621,,,0.81,254.0,,31.0,83.0,259.0,,,,,,,1.86,,1.86,,Northwest,112.0,118.0,115.0,504.12,,,,,,,,,,,,,,,,,,,,,7.138710759172631,42.819811709926,42.82244705979772,OLD_Oceanic_Crust,42.120000000000005,801,801
ODP0129-0801C-002R-003/114-119,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.25,3.17,16.77,,3.73,,5.27,,,0.19,4.9,6.34,,3.98,2.45,0.6,,7.39,,,2.13,,,,,,,,,,,,,114.0,41.0,42.0,,78.0,,,,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,58.0,,25.0,6.73,2.21,,0.93,,,,,2.25,0.32,,,,,,408.0,,,,,,,41.0,131.0,0.42,42.0,24.0,,5.74,,,,,10692.42116906082,,,,,,,37.22954539900308,114.0,,,4980.6751592356695,,1.0,,,48.0,,,,279.0,,19.7,,,,498.0,2.64,,2.574764984986608,,,1.14,265.0,,30.0,78.0,255.0,,,,,,,2.13,,2.13,,Northwest,114.0,119.0,116.5,506.98,,,,,,,,,,,,,,,,,,,,,6.338731894268162,44.724025892141725,44.72677614640306,OLD_Oceanic_Crust,44.98000000000002,801,801
ODP0129-0801C-002R-004/071-076,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.95,3.15,16.4,,3.66,,6.19,,,0.15,5.28,7.13,,3.86,2.33,0.54,,5.82,,,1.36,,,,,,,,,,,,,46.0,,40.0,,87.0,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.14,64.75,7.45,31.41,6.85,2.29,6.88,,6.16,1.09,3.0,,2.56,0.41,,,,,,387.0,,,,,,,,76.0,0.4,40.0,23.0,,5.7,,,,,10168.71074445376,,,,,,,40.60936612367441,46.0,,,4482.6076433121025,,2.0,,,46.0,,,,246.0,,20.9,,,,495.0,2.45,,3.1432293183828586,,,0.85,262.0,,32.0,87.0,257.0,,,,,,,1.36,,1.36,,Northwest,71.0,76.0,73.5,507.81,,,,,,,,,,,,,,,,,,,,,7.128858704841345,42.89184236783233,42.89417029322224,OLD_Oceanic_Crust,45.81,801,801
